nature	message	champ	type_a	type_b	build_a	build_b
CHAMP_AJOUTE	AchievementFinishedMessage	achievement		AchievementAchievedRewardable	242	273
CHAMP_AJOUTE	AchievementListMessage	finishedAchievements		Vector.<AchievementAchieved>	242	273
CHAMP_AJOUTE	AcquaintanceSearchMessage	tag		AccountTagInformation	242	273
CHAMP_AJOUTE	AdminCommandMessage	messageUuid		Uuid	242	273
CHAMP_AJOUTE	AllianceFactsMessage	members		Vector.<CharacterMinimalSocialPublicInformations>	242	273
CHAMP_AJOUTE	AllianceInsiderInfoMessage	members		Vector.<AllianceMemberInfo>	242	273
CHAMP_AJOUTE	AllianceInsiderInfoMessage	taxCollectors		Vector.<TaxCollectorInformations>	242	273
CHAMP_AJOUTE	AllianceJoinedMessage	rankId		uint	242	273
CHAMP_AJOUTE	AllianceModificationEmblemValidMessage	allianceEmblem		SocialEmblem	242	273
CHAMP_AJOUTE	AllianceModificationValidMessage	allianceEmblem		SocialEmblem	242	273
CHAMP_AJOUTE	BasicWhoIsMessage	accountTag		AccountTagInformation	242	273
CHAMP_AJOUTE	BasicWhoIsNoMatchMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	BasicWhoIsRequestMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	ChangeMapMessage	autopilot		Boolean	242	273
CHAMP_AJOUTE	CharacterCreationResultMessage	reason		uint	242	273
CHAMP_AJOUTE	CharactersListMessage	characters		Vector.<CharacterBaseInformations>	242	273
CHAMP_AJOUTE	ChatServerMessage	prefix		String	242	273
CHAMP_AJOUTE	ExchangeBidHouseInListAddedMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseInListAddedMessage	objectType		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseInListRemovedMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseInListRemovedMessage	objectType		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseListMessage	follow		Boolean	242	273
CHAMP_AJOUTE	ExchangeBidHouseListMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeBidHousePriceMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseSearchMessage	follow		Boolean	242	273
CHAMP_AJOUTE	ExchangeBidHouseSearchMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeBidHouseTypeMessage	follow		Boolean	242	273
CHAMP_AJOUTE	ExchangeStartOkRecycleTradeMessage	adjacentSubareaPossessed		Vector.<uint>	242	273
CHAMP_AJOUTE	ExchangeStartOkRecycleTradeMessage	adjacentSubareaUnpossessed		Vector.<uint>	242	273
CHAMP_AJOUTE	ExchangeTypesExchangerDescriptionForUserMessage	objectType		uint	242	273
CHAMP_AJOUTE	ExchangeTypesItemsExchangerDescriptionForUserMessage	objectGID		uint	242	273
CHAMP_AJOUTE	ExchangeTypesItemsExchangerDescriptionForUserMessage	objectType		uint	242	273
CHAMP_AJOUTE	FriendAddRequestMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	FriendDeleteResultMessage	tag		AccountTagInformation	242	273
CHAMP_AJOUTE	FriendJoinRequestMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	GameActionFightDispellMessage	verboseCast		Boolean	242	273
CHAMP_AJOUTE	GameActionFightLifePointsLostMessage	elementId		int	242	273
CHAMP_AJOUTE	GameActionFightTriggerGlyphTrapMessage	markImpactCell		uint	242	273
CHAMP_AJOUTE	GameFightEndMessage	rewardRate		int	242	273
CHAMP_AJOUTE	GameFightSpectateMessage	fxTriggerCounts		Vector.<GameFightEffectTriggerCount>	242	273
CHAMP_AJOUTE	GameFightStartingMessage	containsBoss		Boolean	242	273
CHAMP_AJOUTE	GameFightStartingMessage	fightId		uint	242	273
CHAMP_AJOUTE	GameFightStartingMessage	monsters		Vector.<int>	242	273
CHAMP_AJOUTE	GameRolePlayArenaRegisterMessage	arenaType		uint	242	273
CHAMP_AJOUTE	GameRolePlayArenaSwitchToFightServerMessage	token		String	242	273
CHAMP_AJOUTE	GameRolePlayArenaSwitchToGameServerMessage	token		String	242	273
CHAMP_AJOUTE	GameRolePlayArenaUpdatePlayerInfosMessage	arenaRanks		Vector.<ArenaRankInfos>	242	273
CHAMP_AJOUTE	GameRolePlayArenaUpdatePlayerInfosMessage	banEndDate		Number	242	273
CHAMP_AJOUTE	GameRolePlaySpellAnimMessage	direction		int	242	273
CHAMP_AJOUTE	GuildChangeMemberParametersMessage	rankId		uint	242	273
CHAMP_AJOUTE	GuildInformationsGeneralMessage	score		int	242	273
CHAMP_AJOUTE	GuildJoinedMessage	rankId		uint	242	273
CHAMP_AJOUTE	HavenBagDailyLoteryMessage	gameActionId		String	242	273
CHAMP_AJOUTE	HouseSellingUpdateMessage	buyerTag		AccountTagInformation	242	273
CHAMP_AJOUTE	HouseToSellFilterMessage	orderBy		uint	242	273
CHAMP_AJOUTE	IdentificationSuccessMessage	accountTag		AccountTagInformation	242	273
CHAMP_AJOUTE	IdentificationSuccessMessage	hasForceRight		Boolean	242	273
CHAMP_AJOUTE	IdentificationSuccessMessage	hasReportRight		Boolean	242	273
CHAMP_AJOUTE	IgnoredAddRequestMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	IgnoredDeleteResultMessage	tag		AccountTagInformation	242	273
CHAMP_AJOUTE	InventoryWeightMessage	inventoryWeight		uint	242	273
CHAMP_AJOUTE	KohUpdateMessage	kohAllianceInfo		Vector.<KohAllianceInfo>	242	273
CHAMP_AJOUTE	KohUpdateMessage	startingAvaTimestamp		uint	242	273
CHAMP_AJOUTE	MountRidingMessage	isAutopilot		Boolean	242	273
CHAMP_AJOUTE	ObjectAddedMessage	origin		uint	242	273
CHAMP_AJOUTE	ObjectFeedMessage	meal		Vector.<ObjectItemQuantity>	242	273
CHAMP_AJOUTE	ObjectQuantityMessage	origin		uint	242	273
CHAMP_AJOUTE	PaddockToSellFilterMessage	orderBy		uint	242	273
CHAMP_AJOUTE	PartyInvitationRequestMessage	target		AbstractPlayerSearchInformation	242	273
CHAMP_AJOUTE	ProtocolRequired	version		String	242	273
CHAMP_AJOUTE	SelectedServerDataMessage	ports		Vector.<uint>	242	273
CHAMP_AJOUTE	ServerSettingsMessage	hasFreeAutopilot		Boolean	242	273
CHAMP_AJOUTE	ServerSettingsMessage	isMonoAccount		Boolean	242	273
CHAMP_AJOUTE	ServerSettingsMessage	itemMaxLevel		uint	242	273
CHAMP_AJOUTE	SlaveSwitchContextMessage	slaveTurn		uint	242	273
CHAMP_AJOUTE	SpellVariantActivationMessage	spellId		uint	242	273
CHAMP_AJOUTE	TaxCollectorAttackedMessage	alliance		BasicAllianceInformations	242	273
CHAMP_AJOUTE	TaxCollectorAttackedResultMessage	alliance		BasicAllianceInformations	242	273
CHAMP_AJOUTE	TaxCollectorDialogQuestionBasicMessage	allianceInfo		BasicAllianceInformations	242	273
CHAMP_AJOUTE	TaxCollectorDialogQuestionExtendedMessage	alliance		BasicNamedAllianceInformations	242	273
CHAMP_AJOUTE	TeleportRequestMessage	destinationType		uint	242	273
CHAMP_AJOUTE	TeleportRequestMessage	sourceType		uint	242	273
CHAMP_AJOUTE	TopTaxCollectorListMessage	dungeonTaxCollectorsInformation		Vector.<TaxCollectorInformations>	242	273
CHAMP_AJOUTE	TopTaxCollectorListMessage	worldTaxCollectorsInformation		Vector.<TaxCollectorInformations>	242	273
CHAMP_AJOUTE	UpdateMapPlayersAgressableStatusMessage	playerAvAMessages		Vector.<AgressableStatusMessage>	242	273
CHAMP_AJOUTE	UpdateSelfAgressableStatusMessage	pictoScore		int	242	273
CHAMP_AJOUTE	UpdateSelfAgressableStatusMessage	roleAvAId		int	242	273
CHAMP_RETIRE	AccountCapabilitiesMessage	breedsAvailable	uint		242	273
CHAMP_RETIRE	AccountCapabilitiesMessage	breedsVisible	uint		242	273
CHAMP_RETIRE	AchievementFinishedMessage	finishedlevel	uint		242	273
CHAMP_RETIRE	AchievementFinishedMessage	id	uint		242	273
CHAMP_RETIRE	AchievementListMessage	finishedAchievementsIds	Vector.<uint>		242	273
CHAMP_RETIRE	AchievementListMessage	rewardableAchievements	Vector.<AchievementRewardable>		242	273
CHAMP_RETIRE	AcquaintanceSearchMessage	nickname	String		242	273
CHAMP_RETIRE	AllianceBulletinSetRequestMessage	notifyMembers	Boolean		242	273
CHAMP_RETIRE	AllianceFactsMessage	guilds	Vector.<GuildInAllianceInformations>		242	273
CHAMP_RETIRE	AllianceInsiderInfoMessage	guilds	Vector.<GuildInsiderFactSheetInformations>		242	273
CHAMP_RETIRE	AllianceInvitedMessage	recruterId	Number		242	273
CHAMP_RETIRE	AllianceJoinedMessage	enabled	Boolean		242	273
CHAMP_RETIRE	AllianceJoinedMessage	leadingGuildId	uint		242	273
CHAMP_RETIRE	AllianceModificationEmblemValidMessage	Alliancemblem	GuildEmblem		242	273
CHAMP_RETIRE	AllianceModificationValidMessage	Alliancemblem	GuildEmblem		242	273
CHAMP_RETIRE	BasicWhoIsMessage	accountNickname	String		242	273
CHAMP_RETIRE	BasicWhoIsNoMatchMessage	search	String		242	273
CHAMP_RETIRE	BasicWhoIsRequestMessage	search	String		242	273
CHAMP_RETIRE	BulletinMessage	lastNotifiedTimestamp	uint		242	273
CHAMP_RETIRE	CharactersListMessage	hasStartupActions	Boolean		242	273
CHAMP_RETIRE	CurrentMapMessage	mapKey	String		242	273
