nature	nom_a	nom_b	id_a	id_b	detail	build_a	build_b
AJOUTE		AbstractPartyMemberInFightMessage		6938		242	273
AJOUTE		AccountInformationsUpdateMessage		4545		242	273
AJOUTE		AccountSubscriptionElapsedDurationMessage		5336		242	273
AJOUTE		AchievementAlmostFinishedDetailedListMessage		1205		242	273
AJOUTE		AchievementAlmostFinishedDetailedListRequestMessage		9909		242	273
AJOUTE		AchievementsPioneerRanksMessage		3443		242	273
AJOUTE		AchievementsPioneerRanksRequestMessage		518		242	273
AJOUTE		AcquaintanceAddedMessage		2270		242	273
AJOUTE		AcquaintancesGetListMessage		4481		242	273
AJOUTE		AcquaintancesListMessage		5647		242	273
AJOUTE		ActivityHideRequestMessage		5903		242	273
AJOUTE		ActivityLockRequestMessage		5738		242	273
AJOUTE		ActivitySuggestionsMessage		5717		242	273
AJOUTE		ActivitySuggestionsRequestMessage		5447		242	273
AJOUTE		AddListenerOnSynchronizedStorageMessage		1826		242	273
AJOUTE		AddTaxCollectorOrderedSpellMessage		8298		242	273
AJOUTE		AddTaxCollectorPresetSpellMessage		6564		242	273
AJOUTE		AlignmentWarEffortDonatePreviewMessage		7642		242	273
AJOUTE		AlignmentWarEffortDonateRequestMessage		5431		242	273
AJOUTE		AlignmentWarEffortDonationResultMessage		1517		242	273
AJOUTE		AlignmentWarEffortProgressionMessage		2045		242	273
AJOUTE		AlignmentWarEffortProgressionRequestMessage		4321		242	273
AJOUTE		AllianceAllRanksUpdateRequestMessage		1620		242	273
AJOUTE		AllianceApplicationAnswerMessage		9692		242	273
AJOUTE		AllianceApplicationDeletedMessage		8801		242	273
AJOUTE		AllianceApplicationIsAnsweredMessage		4844		242	273
AJOUTE		AllianceApplicationListenMessage		8909		242	273
AJOUTE		AllianceApplicationPresenceMessage		8886		242	273
AJOUTE		AllianceApplicationReceivedMessage		1686		242	273
AJOUTE		AllianceChangeMemberRankMessage		1892		242	273
