enum_nom	fichier:ligne	nb_valeurs	valeurs	version
AccessoryPreviewErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/AccessoryPreviewErrorEnum.as:4	3	PREVIEW_ERROR=0;PREVIEW_COOLDOWN=1;PREVIEW_BAD_ITEM=2	242
AggressableStatusEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/AggressableStatusEnum.as:4	7	NON_AGGRESSABLE=0;PvP_ENABLED_AGGRESSABLE=10;PvP_ENABLED_NON_AGGRESSABLE=11;AvA_ENABLED_AGGRESSABLE=20;AvA_ENABLED_NON_AGGRESSABLE=21;AvA_DISQUALIFIED=22;AvA_PREQUALIFIED_AGGRESSABLE=23	242
AlignmentSideEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/AlignmentSideEnum.as:3	6	ALIGNMENT_UNKNOWN=-2;ALIGNMENT_WITHOUT=-1;ALIGNMENT_NEUTRAL=0;ALIGNMENT_ANGEL=1;ALIGNMENT_EVIL=2;ALIGNMENT_MERCENARY=3	242
AllianceRightsBitEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/AllianceRightsBitEnum.as:3	7	ALLIANCE_RIGHT_NONE=0;ALLIANCE_RIGHT_BOSS=1;ALLIANCE_RIGHT_MANAGE_PRISMS=2;ALLIANCE_RIGHT_TALK_IN_CHAN=4;ALLIANCE_RIGHT_RECRUIT_GUILDS=8;ALLIANCE_RIGHT_KICK_GUILDS=16;ALLIANCE_RIGHT_MANAGE_RIGHTS=32	242
BoostableCharacteristicEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/BoostableCharacteristicEnum.as:3	6	BOOSTABLE_CHARAC_STRENGTH=10;BOOSTABLE_CHARAC_VITALITY=11;BOOSTABLE_CHARAC_WISDOM=12;BOOSTABLE_CHARAC_CHANCE=13;BOOSTABLE_CHARAC_AGILITY=14;BOOSTABLE_CHARAC_INTELLIGENCE=15	242
BreedEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/BreedEnum.as:3	30	UNDEFINED=0;Feca=1;Osamodas=2;Enutrof=3;Sram=4;Xelor=5;Ecaflip=6;Eniripsa=7;Iop=8;Cra=9;Sadida=10;Sacrieur=11;Pandawa=12;Roublard=13;Zobal=14;Steamer=15;Eliotrope=16;Huppermage=17;Ouginak=18;SUMMONED=-1;MONSTER=-2;MONSTER_GROUP=-3;NPC=-4;HUMAN_VENDOR=-5;TAX_COLLECTOR=-6;MUTANT=-7;MUTANT_IN_DUNGEON=-8;MOUNT_OUTSIDE=-9;PRISM=-10;INCARNATION=-11	242
BuildTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/BuildTypeEnum.as:4	7	RELEASE=0;BETA=1;ALPHA=2;TESTING=3;INTERNAL=4;DEBUG=5;EXPERIMENTAL=6	242
CharacterCreationResultEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/CharacterCreationResultEnum.as:4	9	OK=0;ERR_NO_REASON=1;ERR_INVALID_NAME=2;ERR_NAME_ALREADY_EXISTS=3;ERR_TOO_MANY_CHARACTERS=4;ERR_NOT_ALLOWED=5;ERR_NEW_PLAYER_NOT_ALLOWED=6;ERR_RESTRICED_ZONE=7;ERR_INCONSISTENT_COMMUNITY=8	242
CharacterDeletionErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/CharacterDeletionErrorEnum.as:4	4	DEL_ERR_NO_REASON=1;DEL_ERR_TOO_MANY_CHAR_DELETION=2;DEL_ERR_BAD_SECRET_ANSWER=3;DEL_ERR_RESTRICED_ZONE=4	242
CharacterInventoryPositionEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/CharacterInventoryPositionEnum.as:3	29	ACCESSORY_POSITION_HAT=6;ACCESSORY_POSITION_CAPE=7;ACCESSORY_POSITION_BELT=3;ACCESSORY_POSITION_BOOTS=5;ACCESSORY_POSITION_AMULET=0;ACCESSORY_POSITION_SHIELD=15;ACCESSORY_POSITION_WEAPON=1;ACCESSORY_POSITION_PETS=8;ACCESSORY_POSITION_RIDE_HARNESS=29;INVENTORY_POSITION_RING_LEFT=2;INVENTORY_POSITION_RING_RIGHT=4;INVENTORY_POSITION_DOFUS_1=9;INVENTORY_POSITION_DOFUS_2=10;INVENTORY_POSITION_DOFUS_3=11;INVENTORY_POSITION_DOFUS_4=12;INVENTORY_POSITION_DOFUS_5=13;INVENTORY_POSITION_DOFUS_6=14;INVENTORY_POSITION_MOUNT=16;INVENTORY_POSITION_MUTATION=20;INVENTORY_POSITION_BOOST_FOOD=21;INVENTORY_POSITION_FIRST_BONUS=22;INVENTORY_POSITION_SECOND_BONUS=23;INVENTORY_POSITION_FIRST_MALUS=24;INVENTORY_POSITION_SECOND_MALUS=25;INVENTORY_POSITION_ROLEPLAY_BUFFER=26;INVENTORY_POSITION_FOLLOWER=27;INVENTORY_POSITION_COMPANION=28;INVENTORY_POSITION_COSTUME=30;INVENTORY_POSITION_NOT_EQUIPED=63	242
