message_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractGameActionFightTargetedAbilityMessage	6118	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/AbstractGameActionFightTargetedAbilityMessage.as:13	5	targetId:Number;destinationCellId:int;critical:uint;silentCast:Boolean;verboseCast:Boolean	AbstractGameActionMessage	super:AbstractGameActionMessage;silentCast:bit0;verboseCast:bit1;#local:writeByte;targetId:writeDouble;destinationCellId:writeShort;critical:writeByte	client-as3	242
AbstractGameActionMessage	1000	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/AbstractGameActionMessage.as:12	2	actionId:uint;sourceId:Number	NetworkMessage	actionId:writeVarShort;sourceId:writeDouble	client-as3	242
AbstractGameActionWithAckMessage	1001	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/AbstractGameActionWithAckMessage.as:11	1	waitAckId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;waitAckId:writeShort	client-as3	242
AbstractPartyEventMessage	6273	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/party/AbstractPartyEventMessage.as:11	0		AbstractPartyMessage	super:AbstractPartyMessage	client-as3	242
AbstractPartyMessage	6274	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/party/AbstractPartyMessage.as:12	1	partyId:uint	NetworkMessage	partyId:writeVarInt	client-as3	242
AbstractPresetDeleteMessage	6735	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/inventory/AbstractPresetDeleteMessage.as:12	1	presetId:uint	NetworkMessage	presetId:writeByte	client-as3	242
AbstractPresetSaveMessage	6736	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/inventory/AbstractPresetSaveMessage.as:12	2	presetId:uint;symbolId:uint	NetworkMessage	presetId:writeByte;symbolId:writeByte	client-as3	242
AbstractPresetSaveResultMessage	6734	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/inventory/AbstractPresetSaveResultMessage.as:12	2	presetId:uint;code:uint	NetworkMessage	presetId:writeByte;code:writeByte	client-as3	242
AbstractTaxCollectorListMessage	6568	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/guild/tax/AbstractTaxCollectorListMessage.as:14	1	informations:Vector.<TaxCollectorInformations>	NetworkMessage	informations#len:writeShort;informations[]#typeId:writeShort;informations[]:serialize	client-as3	242
AccessoryPreviewErrorMessage	6521	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewErrorMessage.as:12	1	error:uint	NetworkMessage	error:writeByte	client-as3	242
AccessoryPreviewMessage	6517	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewMessage.as:13	1	look:EntityLook	NetworkMessage	look:asEntityLook	client-as3	242
AccessoryPreviewRequestMessage	6518	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewRequestMessage.as:12	1	genericId:Vector.<uint>	NetworkMessage	genericId#len:writeShort;genericId[]:writeVarShort	client-as3	242
AccountCapabilitiesMessage	6216	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/approach/AccountCapabilitiesMessage.as:13	6	accountId:uint;tutorialAvailable:Boolean;breedsVisible:uint;breedsAvailable:uint;status:int;canCreateNewCharacter:Boolean	NetworkMessage	tutorialAvailable:bit0;canCreateNewCharacter:bit1;#local:writeByte;accountId:writeInt;breedsVisible:writeVarInt;breedsAvailable:writeVarInt;status:writeByte	client-as3	242
AccountHouseMessage	6315	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/houses/AccountHouseMessage.as:13	1	houses:Vector.<AccountHouseInformations>	NetworkMessage	houses#len:writeShort;houses[]:asAccountHouseInformations	client-as3	242
AccountLinkRequiredMessage	6607	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/connection/register/AccountLinkRequiredMessage.as:12	0		NetworkMessage		client-as3	242
AccountLoggingKickedMessage	6029	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/approach/AccountLoggingKickedMessage.as:12	3	days:uint;hours:uint;minutes:uint	NetworkMessage	days:writeVarShort;hours:writeByte;minutes:writeByte	client-as3	242
AchievementDetailedListMessage	6358	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailedListMessage.as:13	2	startedAchievements:Vector.<Achievement>;finishedAchievements:Vector.<Achievement>	NetworkMessage	startedAchievements#len:writeShort;startedAchievements[]:asAchievement;finishedAchievements#len:writeShort;finishedAchievements[]:asAchievement	client-as3	242
AchievementDetailedListRequestMessage	6357	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailedListRequestMessage.as:12	1	categoryId:uint	NetworkMessage	categoryId:writeVarShort	client-as3	242
AchievementDetailsMessage	6378	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailsMessage.as:13	1	achievement:Achievement	NetworkMessage	achievement:asAchievement	client-as3	242
AchievementDetailsRequestMessage	6380	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailsRequestMessage.as:12	1	achievementId:uint	NetworkMessage	achievementId:writeVarShort	client-as3	242
AchievementFinishedInformationMessage	6381	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementFinishedInformationMessage.as:11	2	name:String;playerId:Number	AchievementFinishedMessage	super:AchievementFinishedMessage;name:writeUTF;playerId:writeVarLong	client-as3	242
AchievementFinishedMessage	6208	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementFinishedMessage.as:12	2	id:uint;finishedlevel:uint	NetworkMessage	id:writeVarShort;finishedlevel:writeByte	client-as3	242
AchievementListMessage	6205	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementListMessage.as:13	2	finishedAchievementsIds:Vector.<uint>;rewardableAchievements:Vector.<AchievementRewardable>	NetworkMessage	finishedAchievementsIds#len:writeShort;finishedAchievementsIds[]:writeVarShort;rewardableAchievements#len:writeShort;rewardableAchievements[]:asAchievementRewardable	client-as3	242
AchievementRewardErrorMessage	6375	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardErrorMessage.as:12	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	242
AchievementRewardRequestMessage	6377	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardRequestMessage.as:12	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	242
AchievementRewardSuccessMessage	6376	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardSuccessMessage.as:12	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	242
AcquaintanceSearchErrorMessage	6143	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/connection/search/AcquaintanceSearchErrorMessage.as:12	1	reason:uint	NetworkMessage	reason:writeByte	client-as3	242
AcquaintanceSearchMessage	6144	sources/client242-as3/scripts/com/ankamagames/dofus/network/messages/connection/search/AcquaintanceSearchMessage.as:12	1	nickname:String	NetworkMessage	nickname:writeUTF	client-as3	242
