message_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractGameActionFightTargetedAbilityMessage	836	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/AbstractGameActionFightTargetedAbilityMessage.as:12	5	targetId:Number;destinationCellId:int;critical:uint;silentCast:Boolean;verboseCast:Boolean	AbstractGameActionMessage	super:AbstractGameActionMessage;silentCast:bit0;verboseCast:bit1;#local:writeByte;targetId:writeDouble;destinationCellId:writeShort;critical:writeByte	client-as3	268-partiel
AbstractGameActionMessage	409	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/AbstractGameActionMessage.as:11	2	actionId:uint;sourceId:Number	NetworkMessage	actionId:writeVarShort;sourceId:writeDouble	client-as3	268-partiel
BasicPingMessage	4681	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/common/basic/BasicPingMessage.as:11	1	quiet:Boolean	NetworkMessage	quiet:writeBoolean	client-as3	268-partiel
FighterStatsListMessage	867	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/character/stats/FighterStatsListMessage.as:12	1	stats:CharacterCharacteristicsInformations	NetworkMessage	stats:asCharacterCharacteristicsInformations	client-as3	268-partiel
GameActionFightActivateGlyphTrapMessage	9295	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightActivateGlyphTrapMessage.as:11	2	markId:int;active:Boolean	AbstractGameActionMessage	super:AbstractGameActionMessage;markId:writeShort;active:writeBoolean	client-as3	268-partiel
GameActionFightCloseCombatMessage	1826	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightCloseCombatMessage.as:10	1	weaponGenericId:uint	AbstractGameActionFightTargetedAbilityMessage	super:AbstractGameActionFightTargetedAbilityMessage;weaponGenericId:writeVarInt	client-as3	268-partiel
GameActionFightDeathMessage	2437	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDeathMessage.as:11	1	targetId:Number	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble	client-as3	268-partiel
GameActionFightDispellEffectMessage	339	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDispellEffectMessage.as:10	1	boostUID:uint	GameActionFightDispellMessage	super:GameActionFightDispellMessage;boostUID:writeInt	client-as3	268-partiel
GameActionFightDispellMessage	4004	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDispellMessage.as:11	2	targetId:Number;verboseCast:Boolean	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;verboseCast:writeBoolean	client-as3	268-partiel
GameActionFightDispellSpellMessage	1974	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDispellSpellMessage.as:10	1	spellId:uint	GameActionFightDispellMessage	super:GameActionFightDispellMessage;spellId:writeVarShort	client-as3	268-partiel
GameActionFightDispellableEffectMessage	869	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDispellableEffectMessage.as:13	1	effect:AbstractFightDispellableEffect	AbstractGameActionMessage	super:AbstractGameActionMessage;#typeId:writeShort;effect:serialize	client-as3	268-partiel
GameActionFightDodgePointLossMessage	8102	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDodgePointLossMessage.as:11	2	targetId:Number;amount:uint	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;amount:writeVarShort	client-as3	268-partiel
GameActionFightDropCharacterMessage	1472	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightDropCharacterMessage.as:11	2	targetId:Number;cellId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;cellId:writeShort	client-as3	268-partiel
GameActionFightInvisibilityMessage	4958	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightInvisibilityMessage.as:11	2	targetId:Number;state:uint	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;state:writeByte	client-as3	268-partiel
GameActionFightInvisibleDetectedMessage	3642	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightInvisibleDetectedMessage.as:11	2	targetId:Number;cellId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;cellId:writeShort	client-as3	268-partiel
GameActionFightKillMessage	7364	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightKillMessage.as:11	1	targetId:Number	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble	client-as3	268-partiel
GameActionFightLifePointsGainMessage	5968	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightLifePointsGainMessage.as:11	2	targetId:Number;delta:uint	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;delta:writeVarInt	client-as3	268-partiel
