message_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
hdw		cs/il2cpp.cs:9444	2	f1:Any;f2:int		f1:Any;f2:int	client-il2cpp	3.6.10.10
hdx		cs/il2cpp.cs:9446	2	f1:Any;f2:repeated int		f1:Any;f2:repeated int	client-il2cpp	3.6.10.10
hdy		cs/il2cpp.cs:9448	2	f1:Any;f2:int		f1:Any;f2:int	client-il2cpp	3.6.10.10
hea		cs/il2cpp.cs:9451	3	f1:object;f2:object;f3:object		f1:object;f2:object;f3:object	client-il2cpp	3.6.10.10
hed		cs/il2cpp.cs:9455	0				client-il2cpp	3.6.10.10
heg		cs/il2cpp.cs:9459	4	f1:int;f2:hef.hee;f3:repeated hex;f4:string		f1:int;f2:hef.hee;f3:repeated hex;f4:string	client-il2cpp	3.6.10.10
heh		cs/il2cpp.cs:9461	6	f1:lba;f2:int;f3:int;f4:int;f5:int;f6:string		f1:lba;f2:int;f3:int;f4:int;f5:int;f6:string	client-il2cpp	3.6.10.10
hei		cs/il2cpp.cs:9463	1	f1:repeated heg		f1:repeated heg	client-il2cpp	3.6.10.10
hek		cs/il2cpp.cs:9466	2	f1:bool;f2:bool	hex.hew.hem.hel	f1:bool;f2:bool	client-il2cpp	3.6.10.10
hem		cs/il2cpp.cs:9469	2	f1:hel.hek;f2:repeated lfo	hex.hew	f1:hel.hek;f2:repeated lfo	client-il2cpp	3.6.10.10
hen		cs/il2cpp.cs:9471	1	f1:repeated int	hex.hew	f1:repeated int	client-il2cpp	3.6.10.10
heo		cs/il2cpp.cs:9473	4	f1:int;f2:long;f3:int;f4:map<int,string>	hex.hew.heq.hep	f1:int;f2:long;f3:int;f4:map<int,string>	client-il2cpp	3.6.10.10
heq		cs/il2cpp.cs:9476	4	f1:string;f2:repeated int;f3:hep.heo;f4:repeated int	hex.hew	f1:string;f2:repeated int;f3:hep.heo;f4:repeated int	client-il2cpp	3.6.10.10
her		cs/il2cpp.cs:9478	1	f1:repeated int	hex.hew	f1:repeated int	client-il2cpp	3.6.10.10
het		cs/il2cpp.cs:9481	9	f1:string;f2:bool;f3:repeated long;f4:string;f5:repeated long;f6:bool;f7:long;f8:long;f9:string	hex.hew.hev.heu	f1:string;f2:bool;f3:repeated long;f4:string;f5:repeated long;f6:bool;f7:long;f8:long;f9:string	client-il2cpp	3.6.10.10
hev		cs/il2cpp.cs:9484	4	f1:repeated int;f2:heu.hes;f3:string;f4:heu.het	hex.hew	f1:repeated int;f2:heu.hes;f3:string;f4:heu.het	client-il2cpp	3.6.10.10
hex		cs/il2cpp.cs:9487	9	f1:object;f2:object;f3:object;f4:object;f5:object;f6:object;f7:object;f8:object;f9:object		f1:object;f2:object;f3:object;f4:object;f5:object;f6:object;f7:object;f8:object;f9:object	client-il2cpp	3.6.10.10
hfa		cs/il2cpp.cs:9491	5	f1:int;f2:repeated hfl;f3:hec;f4:hfl;f5:hfl	hfd.hfc	f1:int;f2:repeated hfl;f3:hec;f4:hfl;f5:hfl	client-il2cpp	3.6.10.10
hfb		cs/il2cpp.cs:9493	0		hfd.hfc		client-il2cpp	3.6.10.10
hfd		cs/il2cpp.cs:9496	3	f1:object;f2:object;f3:hfc.hez		f1:object;f2:object;f3:hfc.hez	client-il2cpp	3.6.10.10
hfe		cs/il2cpp.cs:9498	2	f1:repeated hgc;f2:repeated hgc		f1:repeated hgc;f2:repeated hgc	client-il2cpp	3.6.10.10
hff		cs/il2cpp.cs:9500	0		hfh.hfg		client-il2cpp	3.6.10.10
hfh		cs/il2cpp.cs:9503	2	f1:hfg.hff;f2:int		f1:hfg.hff;f2:int	client-il2cpp	3.6.10.10
hfi		cs/il2cpp.cs:9505	2	f1:string;f2:int		f1:string;f2:int	client-il2cpp	3.6.10.10
hfj		cs/il2cpp.cs:9507	3	f1:string;f2:lld;f3:string		f1:string;f2:lld;f3:string	client-il2cpp	3.6.10.10
hfl		cs/il2cpp.cs:9510	7	f1:int;f2:object;f3:object;f4:object;f5:object;f6:int;f7:object		f1:int;f2:object;f3:object;f4:object;f5:object;f6:int;f7:object	client-il2cpp	3.6.10.10
hfo		cs/il2cpp.cs:9514	3	f1:hfn.hfm;f2:string;f3:string		f1:hfn.hfm;f2:string;f3:string	client-il2cpp	3.6.10.10
hfp		cs/il2cpp.cs:9516	0		hfr.hfq		client-il2cpp	3.6.10.10
hfr		cs/il2cpp.cs:9519	1	f1:hfq.hfp		f1:hfq.hfp	client-il2cpp	3.6.10.10
hfs		cs/il2cpp.cs:9521	1	f1:string		f1:string	client-il2cpp	3.6.10.10
hft		cs/il2cpp.cs:9523	7	f1:string;f2:repeated int;f3:repeated long;f4:repeated string;f5:long;f6:string;f7:long	hfv.hfu	f1:string;f2:repeated int;f3:repeated long;f4:repeated string;f5:long;f6:string;f7:long	client-il2cpp	3.6.10.10
hfv		cs/il2cpp.cs:9526	1	f1:hfu.hft		f1:hfu.hft	client-il2cpp	3.6.10.10
hfw		cs/il2cpp.cs:9528	1	f1:string		f1:string	client-il2cpp	3.6.10.10
hfx		cs/il2cpp.cs:9530	1	f1:repeated hfl		f1:repeated hfl	client-il2cpp	3.6.10.10
hfy		cs/il2cpp.cs:9532	1	f1:int		f1:int	client-il2cpp	3.6.10.10
hfz		cs/il2cpp.cs:9534	0				client-il2cpp	3.6.10.10
hga		cs/il2cpp.cs:9536	2	f1:int;f2:int		f1:int;f2:int	client-il2cpp	3.6.10.10
hgb		cs/il2cpp.cs:9538	3	f1:string;f2:int;f3:lld		f1:string;f2:int;f3:lld	client-il2cpp	3.6.10.10
hgc		cs/il2cpp.cs:9540	4	f1:string;f2:string;f3:int;f4:string		f1:string;f2:string;f3:int;f4:string	client-il2cpp	3.6.10.10
hgg		cs/il2cpp.cs:9545	2	f1:hgf.hge;f2:int		f1:hgf.hge;f2:int	client-il2cpp	3.6.10.10
hgj		cs/il2cpp.cs:9549	1	f1:hgi		f1:hgi	client-il2cpp	3.6.10.10
hgm		cs/il2cpp.cs:9553	2	f1:hgl.hgk;f2:hgi		f1:hgl.hgk;f2:hgi	client-il2cpp	3.6.10.10
