type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractCharacterInformation	400	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/AbstractCharacterInformation.as:8	1	id:Number		id:writeVarLong	client-as3	242
AbstractCharacterToRefurbishInformation	475	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/choice/AbstractCharacterToRefurbishInformation.as:10	2	colors:Vector.<int>;cosmeticId:uint	AbstractCharacterInformation	super:AbstractCharacterInformation;colors#len:writeShort;colors[]:writeInt;cosmeticId:writeVarInt	client-as3	242
AbstractContactInformations	380	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/friend/AbstractContactInformations.as:8	2	accountId:uint;accountName:String		accountId:writeInt;accountName:writeUTF	client-as3	242
AbstractFightDispellableEffect	206	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/actions/fight/AbstractFightDispellableEffect.as:9	7	uid:uint;targetId:Number;turnDuration:int;dispelable:uint;spellId:uint;effectId:uint;parentBoostUid:uint		uid:writeVarInt;targetId:writeDouble;turnDuration:writeShort;dispelable:writeByte;spellId:writeVarShort;effectId:writeVarInt;parentBoostUid:writeVarInt	client-as3	242
AbstractFightTeamInformations	116	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/AbstractFightTeamInformations.as:8	5	teamId:uint;leaderId:Number;teamSide:int;teamTypeId:uint;nbWaves:uint		teamId:writeByte;leaderId:writeDouble;teamSide:writeByte;teamTypeId:writeByte;nbWaves:writeByte	client-as3	242
AbstractSocialGroupInfos	416	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/AbstractSocialGroupInfos.as:8	0				client-as3	242
AccountHouseInformations	390	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/AccountHouseInformations.as:9	5	houseInfos:HouseInstanceInformations;worldX:int;worldY:int;mapId:int;subAreaId:uint	HouseInformations	super:HouseInformations;#typeId:writeShort;houseInfos:serialize;worldX:writeShort;worldY:writeShort;mapId:writeInt;subAreaId:writeVarShort	client-as3	242
Achievement	363	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/achievement/Achievement.as:9	3	id:uint;finishedObjective:Vector.<AchievementObjective>;startedObjectives:Vector.<AchievementStartedObjective>		id:writeVarShort;finishedObjective#len:writeShort;finishedObjective[]:asAchievementObjective;startedObjectives#len:writeShort;startedObjectives[]:asAchievementStartedObjective	client-as3	242
AchievementObjective	404	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementObjective.as:9	2	id:uint;maxValue:uint		id:writeVarInt;maxValue:writeVarShort	client-as3	242
AchievementRewardable	412	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementRewardable.as:9	2	id:uint;finishedlevel:uint		id:writeVarShort;finishedlevel:writeByte	client-as3	242
AchievementStartedObjective	402	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementStartedObjective.as:9	1	value:uint	AchievementObjective	super:AchievementObjective;value:writeVarShort	client-as3	242
ActorAlignmentInformations	201	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/alignment/ActorAlignmentInformations.as:8	4	alignmentSide:int;alignmentValue:uint;alignmentGrade:uint;characterPower:Number		alignmentSide:writeByte;alignmentValue:writeByte;alignmentGrade:writeByte;characterPower:writeDouble	client-as3	242
ActorExtendedAlignmentInformations	202	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/alignment/ActorExtendedAlignmentInformations.as:8	4	honor:uint;honorGradeFloor:uint;honorNextGradeFloor:uint;aggressable:uint	ActorAlignmentInformations	super:ActorAlignmentInformations;honor:writeVarShort;honorGradeFloor:writeVarShort;honorNextGradeFloor:writeVarShort;aggressable:writeByte	client-as3	242
ActorOrientation	353	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/ActorOrientation.as:9	2	id:Number;direction:uint		id:writeDouble;direction:writeByte	client-as3	242
ActorRestrictionsInformations	204	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/restriction/ActorRestrictionsInformations.as:9	21	cantBeAggressed:Boolean;cantBeChallenged:Boolean;cantTrade:Boolean;cantBeAttackedByMutant:Boolean;cantRun:Boolean;forceSlowWalk:Boolean;cantMinimize:Boolean;cantMove:Boolean;cantAggress:Boolean;cantChallenge:Boolean;cantExchange:Boolean;cantAttack:Boolean;cantChat:Boolean;cantBeMerchant:Boolean;cantUseObject:Boolean;cantUseTaxCollector:Boolean;cantUseInteractive:Boolean;cantSpeakToNPC:Boolean;cantChangeZone:Boolean;cantAttackMonster:Boolean;cantWalk8Directions:Boolean		cantBeAggressed:bit0;cantBeChallenged:bit1;cantTrade:bit2;cantBeAttackedByMutant:bit3;cantRun:bit4;forceSlowWalk:bit5;cantMinimize:bit6;cantMove:bit7;#local:writeByte;cantAggress:bit0;cantChallenge:bit1;cantExchange:bit2;cantAttack:bit3;cantChat:bit4;cantBeMerchant:bit5;cantUseObject:bit6;cantUseTaxCollector:bit7;#local:writeByte;cantUseInteractive:bit0;cantSpeakToNPC:bit1;cantChangeZone:bit2;cantAttackMonster:bit3;cantWalk8Directions:bit4;#local:writeByte	client-as3	242
AdditionalTaxCollectorInformations	165	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/guild/tax/AdditionalTaxCollectorInformations.as:8	2	collectorCallerName:String;date:uint		collectorCallerName:writeUTF;date:writeInt	client-as3	242
AllianceFactSheetInformations	421	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/AllianceFactSheetInformations.as:11	1	creationDate:uint	AllianceInformations	super:AllianceInformations;creationDate:writeInt	client-as3	242
AllianceInformations	417	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/AllianceInformations.as:9	1	allianceEmblem:GuildEmblem	BasicNamedAllianceInformations	super:BasicNamedAllianceInformations;allianceEmblem:asGuildEmblem	client-as3	242
AllianceInsiderPrismInformation	431	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/prism/AllianceInsiderPrismInformation.as:9	5	lastTimeSlotModificationDate:uint;lastTimeSlotModificationAuthorGuildId:uint;lastTimeSlotModificationAuthorId:Number;lastTimeSlotModificationAuthorName:String;modulesObjects:Vector.<ObjectItem>	PrismInformation	super:PrismInformation;lastTimeSlotModificationDate:writeInt;lastTimeSlotModificationAuthorGuildId:writeVarInt;lastTimeSlotModificationAuthorId:writeVarLong;lastTimeSlotModificationAuthorName:writeUTF;modulesObjects#len:writeShort;modulesObjects[]:asObjectItem	client-as3	242
AlliancePrismInformation	427	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/prism/AlliancePrismInformation.as:9	1	alliance:AllianceInformations	PrismInformation	super:PrismInformation;alliance:asAllianceInformations	client-as3	242
AllianceVersatileInformations	432	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/AllianceVersatileInformations.as:9	4	allianceId:uint;nbGuilds:uint;nbMembers:uint;nbSubarea:uint		allianceId:writeVarInt;nbGuilds:writeVarShort;nbMembers:writeVarShort;nbSubarea:writeVarShort	client-as3	242
AlliancedGuildFactSheetInformations	422	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/AlliancedGuildFactSheetInformations.as:12	1	allianceInfos:BasicNamedAllianceInformations	GuildInformations	super:GuildInformations;allianceInfos:asBasicNamedAllianceInformations	client-as3	242
AlternativeMonstersInGroupLightInformations	394	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/AlternativeMonstersInGroupLightInformations.as:8	2	playerCount:int;monsters:Vector.<MonsterInGroupLightInformations>		playerCount:writeInt;monsters#len:writeShort;monsters[]:asMonsterInGroupLightInformations	client-as3	242
ArenaRankInfos	499	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/fight/arena/ArenaRankInfos.as:9	4	rank:uint;bestRank:uint;victoryCount:uint;fightcount:uint		rank:writeVarShort;bestRank:writeVarShort;victoryCount:writeVarShort;fightcount:writeVarShort	client-as3	242
AtlasPointsInformations	175	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/AtlasPointsInformations.as:9	2	type:uint;coords:Vector.<MapCoordinatesExtended>		type:writeByte;coords#len:writeShort;coords[]:asMapCoordinatesExtended	client-as3	242
BasicAllianceInformations	419	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/BasicAllianceInformations.as:9	2	allianceId:uint;allianceTag:String	AbstractSocialGroupInfos	super:AbstractSocialGroupInfos;allianceId:writeVarInt;allianceTag:writeUTF	client-as3	242
BasicGuildInformations	365	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/BasicGuildInformations.as:9	3	guildId:uint;guildName:String;guildLevel:uint	AbstractSocialGroupInfos	super:AbstractSocialGroupInfos;guildId:writeVarInt;guildName:writeUTF;guildLevel:writeByte	client-as3	242
BasicNamedAllianceInformations	418	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/BasicNamedAllianceInformations.as:8	1	allianceName:String	BasicAllianceInformations	super:BasicAllianceInformations;allianceName:writeUTF	client-as3	242
BidExchangerObjectInfo	122	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/data/items/BidExchangerObjectInfo.as:10	3	objectUID:uint;effects:Vector.<ObjectEffect>;prices:Vector.<Number>		objectUID:writeVarInt;effects#len:writeShort;effects[]#typeId:writeShort;effects[]:serialize;prices#len:writeShort;prices[]:writeVarLong	client-as3	242
CharacterBaseCharacteristic	4	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/characteristic/CharacterBaseCharacteristic.as:8	5	base:int;additionnal:int;objectsAndMountBonus:int;alignGiftBonus:int;contextModif:int		base:writeVarShort;additionnal:writeVarShort;objectsAndMountBonus:writeVarShort;alignGiftBonus:writeVarShort;contextModif:writeVarShort	client-as3	242
CharacterBaseInformations	45	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/choice/CharacterBaseInformations.as:10	2	breed:int;sex:Boolean	CharacterMinimalPlusLookInformations	super:CharacterMinimalPlusLookInformations;breed:writeByte;sex:writeBoolean	client-as3	242
CharacterBasicMinimalInformations	503	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/character/CharacterBasicMinimalInformations.as:8	1	name:String	AbstractCharacterInformation	super:AbstractCharacterInformation;name:writeUTF	client-as3	242
