type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractFightDispellableEffect	3432	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/actions/fight/AbstractFightDispellableEffect.as:8	7	uid:uint;targetId:Number;turnDuration:int;dispelable:uint;spellId:uint;effectId:uint;parentBoostUid:uint		uid:writeVarInt;targetId:writeDouble;turnDuration:writeShort;dispelable:writeByte;spellId:writeVarShort;effectId:writeVarInt;parentBoostUid:writeVarInt	client-as3	268-partiel
EntityLook	9813	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/look/EntityLook.as:8	5	bonesId:uint;skins:Vector.<uint>;indexedColors:Vector.<int>;scales:Vector.<int>;subentities:Vector.<SubEntity>		bonesId:writeVarShort;skins#len:writeShort;skins[]:writeVarShort;indexedColors#len:writeShort;indexedColors[]:writeInt;scales#len:writeShort;scales[]:writeVarShort;subentities#len:writeShort;subentities[]:asSubEntity	client-as3	268-partiel
FightTemporaryBoostEffect	5112	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/actions/fight/FightTemporaryBoostEffect.as:8	1	delta:int	AbstractFightDispellableEffect	super:AbstractFightDispellableEffect;delta:writeInt	client-as3	268-partiel
GameContextActorInformations	7738	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/GameContextActorInformations.as:9	1	look:EntityLook	GameContextActorPositionInformations	super:GameContextActorPositionInformations;look:asEntityLook	client-as3	268-partiel
GameContextActorPositionInformations	4277	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/GameContextActorPositionInformations.as:9	2	contextualId:Number;disposition:EntityDispositionInformations		contextualId:writeDouble;#typeId:writeShort;disposition:serialize	client-as3	268-partiel
GameContextSummonsInformation	3745	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/GameContextSummonsInformation.as:10	5	spawnInformation:SpawnInformation;wave:uint;look:EntityLook;stats:GameFightCharacteristics;summons:Vector.<GameContextBasicSpawnInformation>		#typeId:writeShort;spawnInformation:serialize;wave:writeByte;look:asEntityLook;#typeId:writeShort;stats:serialize;summons#len:writeShort;summons[]#typeId:writeShort;summons[]:serialize	client-as3	268-partiel
GameFightAIInformations	4653	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/GameFightAIInformations.as:10	0		GameFightFighterInformations	super:GameFightFighterInformations	client-as3	268-partiel
GameFightCharacterInformations	1332	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/GameFightCharacterInformations.as:12	4	level:uint;alignmentInfos:ActorAlignmentInformations;breed:int;sex:Boolean	GameFightFighterNamedInformations	super:GameFightFighterNamedInformations;level:writeVarShort;alignmentInfos:asActorAlignmentInformations;breed:writeByte;sex:writeBoolean	client-as3	268-partiel
GameFightEntityInformation	7538	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/GameFightEntityInformation.as:10	3	entityModelId:uint;level:uint;masterId:Number	GameFightFighterInformations	super:GameFightFighterInformations;entityModelId:writeByte;level:writeVarShort;masterId:writeDouble	client-as3	268-partiel
GameFightFighterInformations	486	sources/client268-as3/scripts/com/ankamagames/dofus/network/types/game/context/fight/GameFightFighterInformations.as:12	4	spawnInfo:GameContextBasicSpawnInformation;wave:uint;stats:GameFightCharacteristics;previousPositions:Vector.<uint>	GameContextActorInformations	super:GameContextActorInformations;spawnInfo:asGameContextBasicSpawnInformation;wave:writeByte;#typeId:writeShort;stats:serialize;previousPositions#len:writeShort;previousPositions[]:writeVarShort	client-as3	268-partiel
