token	typedef_index	dll	ligne	nb_fuites	noms_fuites	interfaces_claires	messages_touches
ba	30	Core.dll	742948	0		IComparable	fbi,evu,drv
bac	1121	Core.dll	743085	0		gkv<bool>	
bad	1122	Core.dll	743094	0		gkv<List<gw>>	
bae	1123	Core.dll	743103	0		gkv<gw>	
baf	1124	Core.dll	743112	0		gkx<ks,string,kn>	
bag	1125	Core.dll	743123	0		gkv<ks>	
bai	1127	Core.dll	743138	0		gkw<ks,string>	
baj	1128	Core.dll	743148	0		gkw<ks,ih>	
bak	1129	Core.dll	743158	0		gkv<bool>	
bal	1130	Core.dll	743167	0		gkv<kr>	
bap	1134	Core.dll	743194	0		gkw<dwy,string>	
baq	1135	Core.dll	743204	0		gkv<dwy>	
bar	1136	Core.dll	743213	0		gkv<bool>	
bas	1137	Core.dll	743222	0		gky<List<ih>,long,uint,uint>	
bat	1138	Core.dll	743234	0		gkx<ih,long>	
bav	1140	Core.dll	743251	0		gkv<gw>	
baw	1141	Core.dll	743260	0		gkv<List<ch>>	
bax	1142	Core.dll	743269	0		gkx<List<kp>,long,long>	
bay	1143	Core.dll	743280	0		gkv<ks>	
baz	1144	Core.dll	743289	0		gky<ku,List<kp>,long,long>	
bba	1145	Core.dll	743319	0		gkw<drx,long>	
bbc	1147	Core.dll	743335	0		gkw<long,dwx>	
bbd	1148	Core.dll	743345	0		gkw<long,long>	
bbe	1149	Core.dll	743355	0		gkx<long,long,dwx>	
bbf	1150	Core.dll	743366	0		gkx<long,long,dwx>	
bbg	1151	Core.dll	743377	0		gkv<long>	
bbi	1153	Core.dll	743389	0		gkw<List<MemberNuggetsInfo>,long>	
bbj	1154	Core.dll	743399	0		gkv<short>	
bbl	1156	Core.dll	743414	0		gkv<List<int>>	
bbm	1157	Core.dll	743423	0		gkv<int>	
bbo	1159	Core.dll	743438	0		gkv<kx>	
bbp	1160	Core.dll	743447	0		gkv<string>	
bbq	1161	Core.dll	743456	0		gkv<kx>	
bbr	1162	Core.dll	743465	0		gkv<kx>	
bbs	1163	Core.dll	743474	0		gkx<long,bool>	
bbt	1164	Core.dll	743485	0		gkw<long,List<kv>>	
bbu	1165	Core.dll	743495	0		gkw<string,List<kv>>	
bbv	1166	Core.dll	743505	0		gkv<List<kw>>	
bbw	1167	Core.dll	743514	0		glb<int,int,int,int,int,long,ks>	
bby	1169	Core.dll	743535	0		gkw<List<kx>,List<kx>>	
bbz	1170	Core.dll	743545	0		gkv<kx>	
bcc	1173	Core.dll	743577	0		gkv<List<ba>>	
bcd	1174	Core.dll	743586	0		gkv<bool>	
bce	1175	Core.dll	743595	0		gkv<ba>	
bcf	1176	Core.dll	743604	0		gkv<ba>	
bcg	1177	Core.dll	743613	0		gkv<bool>	
bci	1179	Core.dll	743628	0		gkv<int>	
bcj	1180	Core.dll	743637	0		gkw<long,Core.UILogic.Social.UserStatus>	
bcl	1182	Core.dll	743653	0		gkv<IReadOnlyDictionary<long,Core.UILogic.Social.Friend>>	
bcq	1187	Core.dll	743686	0		gkv<IReadOnlyList<Core.UILogic.Social.FriendInvite>>	
bcr	1188	Core.dll	743695	0		gkv<Core.UILogic.Social.FriendInvite>	
bcs	1189	Core.dll	743704	0		gkv<PvpArenaBaseUi.PvpArenaTab>	
bcw	1193	Core.dll	743731	0		gkw<dtd,int>	
bcy	1195	Core.dll	743747	0		gkv<dve>	
bcz	1196	Core.dll	743756	0		gkx<List<string>,List<string>,int>	
bdb	1198	Core.dll	743787	0		gkw<HashSet<AuctionHouseEffectFilter.FilterEntry>,AuctionHouseEffectFilter.CreatureFilter>	
bde	1201	Core.dll	743809	0		gkv<bool>	
bdf	1202	Core.dll	743818	0		gkw<bool,bool>	
bdh	1204	Core.dll	743834	0		gkv<bool>	
bdi	1205	Core.dll	743843	0		gkw<mig.mif.mie.mic.mib,string>	
bdk	1207	Core.dll	743859	0		gkw<mig.mif.mie.mic.mib,System.DateTime>	
bdl	1208	Core.dll	743869	0		gkw<DataStoreBinding,string>	
bdo	1211	Core.dll	743891	0		gky<bool,int,string,string>	
bdu	1217	Core.dll	743933	0		gkv<List<FriendInfo>>	
bdv	1218	Core.dll	743942	0		gkv<List<int>>	
bdw	1219	Core.dll	743951	0		gkv<drt>	
bdy	1221	Core.dll	743966	0		gkv<dvg>	
bea	1223	Core.dll	743991	0		gkv<DisconnectionReason.Reason>	
beb	1224	Core.dll	744000	0		gkw<List<gr>,bool>	
bec	1225	Core.dll	744010	0		gkv<dvk>	
bed	1226	Core.dll	744019	0		gkv<mit>	
bei	1231	Core.dll	744052	0		gkv<IReadOnlyList<int>>	
bek	1233	Core.dll	744067	0		gkv<IReadOnlyList<int>>	
bel	1234	Core.dll	744076	0		gkv<dic>	
ben	1236	Core.dll	744091	0		gkv<nx>	
beo	1237	Core.dll	744100	0		gkv<nw>	
bep	1238	Core.dll	744109	0		gkv<ny>	
beq	1239	Core.dll	744118	0		gkv<nw>	
ber	1240	Core.dll	744127	0		gkw<int,int>	
bet	1242	Core.dll	744143	0		gkz<uint,uint,uint,uint,List<hv>>	
beu	1243	Core.dll	744156	0		gkv<bool>	
bex	1246	Core.dll	744181	0		gkv<fqb.fpu>	
bfc	1251	Core.dll	744234	0		gkv<string>	
bfe	1253	Core.dll	744249	0		gkv<gyq>	
bff	1254	Core.dll	744258	0		gkv<ChatMessage>	
bfg	1255	Core.dll	744267	0		gkv<Core.Chat.Messages.ChatChannel>	
bfj	1258	Core.dll	744288	0		gkv<bool>	
bfk	1259	Core.dll	744297	0		gkv<string>	
bfl	1260	Core.dll	744306	0		gkw<string,string>	
bfm	1261	Core.dll	744316	0		gkv<string>	
bfo	1263	Core.dll	744331	0		gkv<me>	
bfp	1264	Core.dll	744340	0		gkv<int>	
bfq	1265	Core.dll	744349	0		gkv<int>	
bfr	1266	Core.dll	744358	0		gkv<lz>	
bft	1268	Core.dll	744373	0		gkv<fyg>	
bfu	1269	Core.dll	744382	0		gkw<string,string>	
bfv	1270	Core.dll	744392	0		gkv<string>	
bfw	1271	Core.dll	744401	0		gkw<string,string>	
bfx	1272	Core.dll	744411	0		gkv<int>	
bfy	1273	Core.dll	744420	0		gkv<int>	
bfz	1274	Core.dll	744429	0		gky<int,int,int,string>	
bga	1275	Core.dll	744441	0		gkv<ly>	
bgb	1276	Core.dll	744450	0		gkv<od>	
bgc	1277	Core.dll	744459	0		glc<int,int,int,int,long,int,string,int>	
bgd	1278	Core.dll	744475	0		gkx<Action<string,string>,string,bool>	
bge	1279	Core.dll	744486	0		gkv<ell>	
bgh	1282	Core.dll	744507	0		gkx<dtb,string,long>	
bgi	1283	Core.dll	744518	0		gkv<List<fo>>	
bgj	1284	Core.dll	744527	0		gkv<int>	
bgk	1285	Core.dll	744536	0		gkw<me,dxi>	
bgl	1286	Core.dll	744546	0		gkv<me>	
bgm	1287	Core.dll	744555	0		gky<uint,string,byte,uint>	
bgn	1288	Core.dll	744567	0		gkw<long,bu>	
bgo	1289	Core.dll	744577	0		gkv<List<int>>	
bgp	1290	Core.dll	744586	0		gkz<short,short,List<int>,List<int>,List<me>>	
bgq	1291	Core.dll	744599	0		gkw<int,int>	
bgr	1292	Core.dll	744609	0		gkv<int>	
bgs	1293	Core.dll	744618	0		gkx<int,bhh>	
bgt	1294	Core.dll	744629	0		gkw<int,bool>	
bgu	1295	Core.dll	744639	0		gkw<me,bool>	
bgv	1296	Core.dll	744649	0		gkx<me,bool,bool>	
bgw	1297	Core.dll	744660	0		gkx<long,List<me>,List<me>>	
bgx	1298	Core.dll	744672	0		gkv<lo>	
bgy	1299	Core.dll	744681	0		gkv<int>	
bgz	1300	Core.dll	744691	0		gkv<bhg>	
bha	1301	Core.dll	744717	0		gkv<bhg>	
bhb	1302	Core.dll	744726	0		gkv<me>	
bhc	1303	Core.dll	744735	0		gla<dsr,List<bhd>,float>	
bhe	1305	Core.dll	744759	0		gkw<dsr,me>	
bhf	1306	Core.dll	744769	0		gkv<List<ll>>	
bhv	1322	Core.dll	744914	0		gkv<IDragContextHandler>	
bhw	1323	Core.dll	744923	0		gkv<bool>	
bhz	1326	Core.dll	744944	0		gkv<bool>	
bia	1327	Core.dll	744978	0		gky<IDragContextHandler,IDragContextHandler,bool,IDragData>	
bib	1328	Core.dll	744990	0		gkv<dxk>	
bic	1329	Core.dll	744999	0		gkv<EncyclopediaSpecificParams>	
bie	1330	Core.dll	745008	0		gkv<EncyclopediaSpecificParams>	
bif	1331	Core.dll	745017	0		gkv<EncyclopediaSpecificParams>	
bih	1332	Core.dll	745026	0		gkv<bool>	
bii	1333	Core.dll	745035	0		gkv<bool>	
bij	1334	Core.dll	745044	0		gkv<Core.Rendering.Entity.Entity>	
bik	1335	Core.dll	745053	0		gkw<long,wf>	
bil	1336	Core.dll	745063	0		gkv<long>	
bim	1337	Core.dll	745072	0		gkv<EntityInfo>	
bin	1338	Core.dll	745081	0		gkv<long>	
bio	1339	Core.dll	745090	0		gkw<long,gyq>	
bip	1340	Core.dll	745100	0		gkw<long,long>	
bis	1343	Core.dll	745122	0		gkw<long,bool>	
bit	1344	Core.dll	745132	0		gkw<long,int>	
biu	1345	Core.dll	745142	0		gkw<long,Hitbox>	
biv	1346	Core.dll	745152	0		gkw<long,uint>	
biw	1347	Core.dll	745162	0		gkw<long,uint>	
bix	1348	Core.dll	745172	0		gkv<bool>	
biy	1349	Core.dll	745181	0		gkv<fu>	
biz	1350	Core.dll	745190	0		gkv<fcj.ExchangeWindows>	
bja	1351	Core.dll	745223	0		gkv<bool>	
bjb	1352	Core.dll	745232	0		gkw<int,bool>	
