jeton	verdict	nom_jondo	nom_nous	provenance_v4
hhy	CIRCULAIRE	TitlesAndOrnamentsListMessage	TitlesAndOrnamentsListMessage	proposition_jondo_seule
hid	CIRCULAIRE	TitleSelectedMessage	TitleSelectedMessage	proposition_jondo_seule
hif	CIRCULAIRE	OrnamentSelectedMessage	OrnamentSelectedMessage	proposition_jondo_seule
hjc	CIRCULAIRE	TeleportRequestMessage	TeleportRequestMessage	proposition_jondo_seule
hjj	DÉSACCORD	TeleportDestinationsMessage	GuildCardEvent	structure_v2
hms	NOUVEAU_JONDO	SpellListMessage		
hmt	CIRCULAIRE	SpellVariantActivationRequestMessage	SpellVariantActivationRequestMessage	proposition_jondo_seule
hng	CIRCULAIRE	SpellVariantActivationSuccessMessage	SpellVariantActivationSuccessMessage	proposition_jondo_seule
hoy	ACCORD_INDÉPENDANT	HelloGameMessage	HelloGameMessage	capture_verifiee
irq	CIRCULAIRE	JobExperienceMultiUpdateMessage	JobExperienceMultiUpdateMessage	proposition_jondo_seule
itc	CIRCULAIRE	StorageObjectRemoveMessage	StorageObjectRemoveMessage	proposition_jondo_seule
itd	CIRCULAIRE	StorageObjectUpdateMessage	StorageObjectUpdateMessage	proposition_jondo_seule
itg	CIRCULAIRE	ShortcutBarContentMessage	ShortcutBarContentMessage	proposition_jondo_seule
itz	CIRCULAIRE	ShortcutBarAddRequestMessage	ShortcutBarAddRequestMessage	proposition_jondo_seule
iua	CIRCULAIRE	ObjectAddedMessage	ObjectAddedMessage	proposition_jondo_seule
iuk	CIRCULAIRE	ObjectSetPositionMessage	ObjectSetPositionMessage	proposition_jondo_seule
ium	CIRCULAIRE	ObjectDeletedMessage	ObjectDeletedMessage	proposition_jondo_seule
iun	CIRCULAIRE	InventoryWeightMessage	InventoryWeightMessage	proposition_jondo_seule
iuq	CIRCULAIRE	ShortcutBarReplacedMessage	ShortcutBarReplacedMessage	proposition_jondo_seule
iuw	CIRCULAIRE	ObjectDeleteMessage	ObjectDeleteMessage	proposition_jondo_seule
ivf	CIRCULAIRE	KamasUpdateMessage	KamasUpdateMessage	proposition_jondo_seule
ivk	CIRCULAIRE	ShortcutBarRefreshMessage	ShortcutBarRefreshMessage	proposition_jondo_seule
ivq	CIRCULAIRE	ObjectMovementMessage	ObjectMovementMessage	proposition_jondo_seule
ivx	CIRCULAIRE	InventoryContentMessage	InventoryContentMessage	proposition_jondo_seule
iwb	CIRCULAIRE	StorageInventoryContentMessage	StorageInventoryContentMessage	proposition_jondo_seule
iwn	CIRCULAIRE	InteractiveUsedMessage	InteractiveUsedMessage	proposition_jondo_seule
iwo	CIRCULAIRE	InteractiveUseRequestMessage	InteractiveUseRequestMessage	proposition_jondo_seule
jba	CIRCULAIRE	HavenBagEditionStoppedMessage	HavenBagEditionStoppedMessage	proposition_jondo_seule
