jeton_3.6.10.11	nom_propose	fiabilite_du_nom	signification_mesuree	fiabilite_du_jeton	direction	handler	forme_capturee	origen_jondo	source
hhf			Solo alcanzable desde isi, que nunca llega. 1 mensaje en 1 fichero.	FIABLE	S2C	InventoryHandler		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hhk			No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hhy	TitlesAndOrnamentsListMessage	PROPOSÉ	Lo que la cuenta posee; el cliente ya tiene el catalogo entero y lo que no este en esta lista sale en gris. Se envia una vez al entrar al mundo. En el replay se sustituye por los de la cuenta que juega.	FIABLE	S2C	BuildTitlesOwned	f1: packed titles, f2: packed ornaments	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hid	TitleSelectedMessage	PROPOSÉ	El titulo que se lleva ahora; vacio significa ninguno, no un cero dentro.	FIABLE	S2C	BuildTitleUpdated	f1: title, or empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hif	OrnamentSelectedMessage	PROPOSÉ	El ornamento que se lleva ahora, con la misma regla.	FIABLE	S2C	BuildOrnamentUpdated	f1: ornament, or empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hih			No implementado. Exclusivo de las capturas de extras de apariencia; 2 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
him			No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hir			No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hjc	TeleportRequestMessage	PROPOSÉ	Destino elegido.	FIABLE	C2S	ZaapTravelHandler.TravelAsync	f3: destination map	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hjj	TeleportDestinationsMessage	PROPOSÉ	La lista de destinos del zaap; f6 casa con MapPositions en las 25 entradas de la captura y el destino donde ya estas viaja sin f2, o sea coste cero.	FIABLE	S2C	BuildZaapList	f2: map of the open zaap, f3 (rep) { f1: area level, f2: cost, f5: map, f6: subarea }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hjk			Viaja con jru en cada cambio de mapa.	FIABLE	S2C	BuildMapDiscovered	f1: packed [map id]	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hks			No implementado. Exclusivo de las capturas de alianzas (Alianzas); 1 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hmd			Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	FIABLE	S2C	GameNodeProxy (rama kkn)		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hms	SpellListMessage	PROPOSÉ	Los hechizos que tiene el personaje, cada uno al grado que abre su nivel.	FIABLE	S2C	BuildSpellList	f1 (rep) { f1: grade, f3: spell id, f4: 1 }	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hmt	SpellVariantActivationRequestMessage	PROPOSÉ	Cambiar un hechizo por su variante, desde el panel o desde la barra.	FIABLE	C2S	SpellHandler.HandleVariantAsync	f1: wanted spell id	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hng	SpellVariantActivationSuccessMessage	PROPOSÉ	El hechizo nuevo y el grado que abre el nivel del personaje.	FIABLE	S2C	BuildSpellSwapped	f2: spell id, f3: grade	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hnk			El builder no se llama nunca; la rama hmv usa un payload crudo y hmv nunca llega. 243 mensajes en 9 ficheros.	FIABLE	S2C	TransitionPacketsBuilder.BuildHnkMessage		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hns			No implementado. Exclusivo de las capturas de emotes; 2 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hoc			No implementado. Exclusivo de las capturas de emotes; 7 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hol			Conyuge y gremio de la cuenta grabada; se descarta. 4 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hor			No implementado. Exclusivo de las capturas de emotes; 2 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hou			Sale en la entrada al mundo, encabezando el grupo de once ktq y un lru.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hov			No implementado. Exclusivo de las capturas de emotes; 19 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hoy	HelloGameMessage	PROPOSÉ	Saludo del servidor de juego; f5 se omite a proposito porque no aparece en ninguna de las tres capturas de arranque.	FIABLE	S2C	ConnectionProtocol.BuildHoy	f1: 30, f2: 1, f3: 1, f6: language, f7: 200	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hpm			Nada establecido. 103 mensajes, 35 ficheros.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
hpu			No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); 6 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
idu			La respuesta a ieo: cuatro seguidos en la entrada al mundo.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
idw			No implementado. Exclusivo de las capturas de extras de conexion; 16 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
idz			No implementado. Exclusivo de las capturas de extras de conexion; 21 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ieg			No implementado. Exclusivo de las capturas de extras de conexion; 12 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iej			No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 38 mensajes.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ieo			Cuatro seguidos en la entrada al mundo; el servidor contesta cuatro idu.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ife			Alianzas, por nombre y tag; se descarta. 9 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ify			No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); lleva id de peticion real (17); 17 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
igy			No implementado. Exclusivo de las capturas de conjuntos de equipo (Conjuntos); lleva id de peticion real (11); 11 mensajes.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
iha			Lleva id de peticion real en 2 peticiones.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ihb			Catorce conjuntos guardados, cada uno con un look; se descarta. 7 mensajes.	FIABLE	S2C	WorldEntry.NotReplayed		estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
ihf			Lleva id de peticion real en 1 peticion.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
