raw	motif	fichier:ligne	classe_courante	emu	version
krt C2S  Llega junto con kqz; no espera nada de vuelta. GameNodeProxy (empty branch) -	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:15		jondo	3.6.10.10
kqq C2S LogoutRequestMessage El cliente vuelve a la pantalla de personaje o de servidor. GameNodeProxy -	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:29		jondo	3.6.10.10
jrh C2S WorldEntryRequests Quien esta en este mapa; sin respuesta el mapa se dibuja vacio, sin avatar, sin PNJs y sin monstruos. GameNodeProxy -	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:41		jondo	3.6.10.10
jqi C2S MapMovementConfirmRequest Estoy en el borde, puedo salir. WorldMoveHandler.AllowMapExitAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:51		jondo	3.6.10.10
kla C2S LeaveDialogRequestMessage El boton de cerrar el dialogo; vacio, y el cliente espera: la ventana no se cierra hasta que lo dice el servidor. GameNodeProxy -> chest or zaap empty	opcode absent de Op.cs; forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:69		jondo	3.6.10.10
kuh C2S StatsResetRequestMessage Reiniciar caracteristicas; la captura no cobra nada por ello, asi que aqui tampoco se cobra. CharacteristicsHandler.ResetAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:73		jondo	3.6.10.10
jbv C2S HavenBagEditionStartRequestMessage Abrir el modo de colocacion de muebles. MerkasakoHandler.OpenEditorAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:87		jondo	3.6.10.10
jbk C2S  Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual. MerkasakoHandler.CloseEditorAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:90		jondo	3.6.10.10
jav C2S  Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual. MerkasakoHandler.CloseEditorAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:91		jondo	3.6.10.10
jaw C2S  Cerrar el modo de colocacion; jbk, jav y jaw llegan los tres juntos al aceptar y el documento no distingue cual es cual. MerkasakoHandler.CloseEditorAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:92		jondo	3.6.10.10
lyk C2S AppearanceOpenRequestMessage Abrir la ventana de apariencia; no tiene respuesta propia. AppearanceHandler.OpenAsync empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:96		jondo	3.6.10.10
lyy C2S AppearanceStateRequestMessage Pedir el estado de la ventana. AppearanceHandler.SendStateAsync f1: character uuid	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:97		jondo	3.6.10.10
lxh C2S NpcDialogLeaveRequestMessage Salir de un dialogo; el unico mensaje de PNJ que se observa enviar al cliente 3.6.10.10. NpcHandler.HandleLeaveDialogRequest empty	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:123		jondo	3.6.10.10
lxj S2C  Lo que el emulador responde a lxh; sin verificar, no aparece en ninguna de las 242 capturas. NpcHandler f1: 5	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:124		jondo	3.6.10.10
jto S2C  Lo envia el servidor y el cliente nunca; el emulador lo tiene en la rama de lista de personajes, a la que solo llega kpa. 7324 mensajes en 23 ficheros. GameNodeProxy character-list branch 	forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:125		jondo	3.6.10.10
jwe S2C  Lo envia el servidor pero el emulador lo usa como disparador de cliente. 9463 mensajes en 23 ficheros. FightHandler dispatch 	forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:126		jondo	3.6.10.10
jxw S2C  Lo envia el servidor pero el emulador lo usa como disparador de cliente. 4933 mensajes en 23 ficheros. FightHandler dispatch 	forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:127		jondo	3.6.10.10
jya S2C  Solo alcanzable desde el despacho de combate muerto. 3962 mensajes en 20 ficheros. FightHandler emits it 	forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:128		jondo	3.6.10.10
krp S2C  Solo alcanzable desde el despacho de combate muerto. 14 mensajes en 14 ficheros. FightHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:131		jondo	3.6.10.10
joq S2C  Sus dos llamadores son rutas de 3.6.4.3. 1 mensaje en 1 fichero. FightHandler, MapChangeHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:132		jondo	3.6.10.10
joq S2C  Sus dos llamadores son rutas de 3.6.4.3. 1 mensaje en 1 fichero. FightHandler, MapChangeHandler 	opcode absent de Op.cs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:132		jondo	3.6.10.10
jwm C2S  Direccion invertida en el emulador: lo construye como mensaje de servidor pero lo envia el cliente. 7 mensajes en 1 fichero. FightHandler builds it as a server message 	opcode absent de Op.cs; forme prose non decomposable	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:133		jondo	3.6.10.10
