message_nom	presence_2x	nb_emus_2x	sur_n_total	handler_2x	tag	jondo_opcode_deduit	jondo_score
AbstractCharacterInformation	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractCharacterToRefurbishInformation	symbioz	1	5		DIVERGENT		
AbstractContactInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractFightDispellableEffect	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractFightTeamInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractGameActionFightTargetedAbilityMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractGameActionMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractGameActionWithAckMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractPartyEventMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractPartyMemberInFightMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AbstractPartyMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractPlayerSearchInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AbstractSocialGroupInfos	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AbstractTaxCollectorListMessage	ginycore;symbioz	2	5		PARTIEL		
AccessoryPreviewErrorMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccessoryPreviewMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccessoryPreviewRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountCapabilitiesMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountHouseInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountHouseMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountInformationsUpdateMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AccountLinkRequiredMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountLoggingKickedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AccountMessage	giny;ginycore;oneair;symbioz	4	5		PARTIEL		
AccountRequestMessage	giny;ginycore;oneair;symbioz	4	5	giny;ginycore;oneair;symbioz	PARTIEL		
AccountSubscriptionElapsedDurationMessage	jiva;giny;oneair	3	5		PARTIEL		
AccountTagInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
Achievement	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementAchieved	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AchievementAchievedRewardable	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AchievementAlmostFinishedDetailedListMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AchievementAlmostFinishedDetailedListRequestMessage	jiva;giny;ginycore;oneair	4	5	giny;oneair	PARTIEL		
AchievementDetailedListMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementDetailedListRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	giny;oneair	INVARIANT		
AchievementDetailsMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementDetailsRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	giny;oneair	INVARIANT		
AchievementFinishedInformationMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementFinishedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementListMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementObjective	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementPioneerRank	jiva	1	5		DIVERGENT		
AchievementRewardErrorMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementRewardRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	giny;oneair	INVARIANT		
AchievementRewardSuccessMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementRewardable	symbioz	1	5		DIVERGENT		
AchievementStartedObjective	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AchievementsPioneerRanksMessage	jiva	1	5		DIVERGENT		
AchievementsPioneerRanksRequestMessage	jiva	1	5		DIVERGENT		
AcquaintanceAddedMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AcquaintanceInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AcquaintanceOnlineInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AcquaintanceSearchErrorMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AcquaintanceSearchMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;symbioz	INVARIANT		
AcquaintanceServerListMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AcquaintancesGetListMessage	jiva;giny;ginycore;oneair	4	5	giny;ginycore;oneair	PARTIEL		
AcquaintancesListMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ActivityHideRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ActivityLockRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ActivitySuggestionsMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ActivitySuggestionsRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ActorAlignmentInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ActorExtendedAlignmentInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ActorOrientation	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ActorRestrictionsInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AddListenerOnSynchronizedStorageMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AddTaxCollectorOrderedSpellMessage	jiva;giny;oneair	3	5		PARTIEL		
AddTaxCollectorPresetSpellMessage	jiva;giny;oneair	3	5		PARTIEL		
AdditionalTaxCollectorInformation	jiva;giny;oneair	3	5		PARTIEL		
AdditionalTaxCollectorInformations	ginycore;symbioz	2	5		PARTIEL		
AdminCommandMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;giny;ginycore;oneair	INVARIANT		
AdminQuietCommandMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;giny;ginycore;oneair;symbioz	INVARIANT		
AggregateStatMessage	symbioz	1	5		DIVERGENT		
AggregateStatWithDataMessage	symbioz	1	5		DIVERGENT		
AgressableStatusMessage	jiva;giny;oneair	3	5		PARTIEL		
AlignmentRankUpdateMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AlignmentWarEffortDonatePreviewMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AlignmentWarEffortDonateRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AlignmentWarEffortDonationResultMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AlignmentWarEffortInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AlignmentWarEffortProgressionMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AlignmentWarEffortProgressionRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceAllRanksUpdateRequestMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceApplicationAnswerMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceApplicationDeletedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceApplicationIsAnsweredMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceApplicationListenMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceApplicationPresenceMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceApplicationReceivedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceBulletinMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceBulletinSetErrorMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceBulletinSetRequestMessage	jiva;giny;ginycore;oneair	4	5	jiva	PARTIEL		
AllianceChangeGuildRightsMessage	ginycore;symbioz	2	5		PARTIEL		
AllianceChangeMemberRankMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceCreationResultMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceCreationStartedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceCreationValidMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceDeleteApplicationRequestMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceFactSheetInformation	jiva;giny;oneair	3	5		PARTIEL		
AllianceFactSheetInformations	ginycore;symbioz	2	5		PARTIEL		
AllianceFactsErrorMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceFactsMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceFactsRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceFightFighterAddedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceFightFighterRemovedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceFightFinishedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceFightInfoMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceFightPhaseUpdateMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceFightStartedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceGetPlayerApplicationMessage	jiva;giny;oneair	3	5	jiva;oneair	PARTIEL		
AllianceGetRecruitmentInformationMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceGuildLeavingMessage	ginycore;symbioz	2	5		PARTIEL		
AllianceInformation	jiva;giny;oneair	3	5		PARTIEL		
AllianceInformations	ginycore;symbioz	2	5		PARTIEL		
AllianceInsiderInfoMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceInsiderInfoRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceInsiderPrismInformation	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceInvitationAnswerMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceInvitationMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceInvitationStateRecrutedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceInvitationStateRecruterMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceInvitedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceIsThereAnyApplicationMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceJoinAutomaticallyRequestMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceJoinedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceKickRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;oneair	INVARIANT		
AllianceLeftMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceListApplicationAnswerMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceListApplicationModifiedMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceListApplicationRequestMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceListMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceMemberInfo	jiva;giny;oneair	3	5		PARTIEL		
AllianceMemberInformationUpdateMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceMemberLeavingMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceMemberOnlineStatusMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceMemberStartWarningOnConnectionMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceMemberStopWarningOnConnectionMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceMembershipMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceModificationEmblemValidMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceModificationNameAndTagValidMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceModificationResultMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceModificationStartedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceModificationValidMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceMotdMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceMotdSetErrorMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceMotdSetRequestMessage	jiva;giny;ginycore;oneair	4	5	jiva;oneair	PARTIEL	lyf	0.62
AlliancePartialListMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AlliancePlayerApplicationAbstractMessage	jiva;giny;oneair	3	5		PARTIEL		
AlliancePlayerApplicationInformationMessage	jiva;giny;oneair	3	5		PARTIEL		
AlliancePlayerNoApplicationInformationMessage	jiva;giny;oneair	3	5		PARTIEL		
AlliancePrismDialogQuestionMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AlliancePrismInformation	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AllianceRankCreateRequestMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRankRemoveRequestMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRankUpdateRequestMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRanksMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRanksRequestMessage	jiva;giny;oneair	3	5	jiva;oneair	PARTIEL		
AllianceRecruitmentInformation	jiva;giny;oneair	3	5		PARTIEL		
AllianceRecruitmentInformationMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRecruitmentInvalidateMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceRightsUpdateMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceSubmitApplicationMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceSummaryMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AllianceSummaryRequestMessage	jiva;giny;ginycore;oneair	4	5	oneair	PARTIEL		
AllianceTaxCollectorDialogQuestionExtendedMessage	ginycore;symbioz	2	5		PARTIEL		
AllianceUpdateApplicationMessage	jiva;giny;oneair	3	5	oneair	PARTIEL		
AllianceUpdateRecruitmentInformationMessage	jiva;giny;oneair	3	5		PARTIEL		
AllianceVersatileInfoListMessage	symbioz	1	5		DIVERGENT		
AllianceVersatileInformations	symbioz	1	5		DIVERGENT		
AlliancedGuildFactSheetInformations	ginycore;symbioz	2	5		PARTIEL		
AlmanachCalendarDateMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AlreadyConnectedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AlterationAddedMessage	jiva;giny;oneair	3	5		PARTIEL		
AlterationInfo	jiva;giny;oneair	3	5		PARTIEL		
AlterationRemovedMessage	jiva;giny;oneair	3	5		PARTIEL		
AlterationsMessage	jiva;giny;oneair	3	5		PARTIEL		
AlterationsUpdatedMessage	jiva;giny;oneair	3	5		PARTIEL		
AlternativeMonstersInGroupLightInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AnomalyOpenedMessage	jiva;giny;oneair	3	5		PARTIEL		
AnomalyStateMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AnomalySubareaInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
AnomalySubareaInformationRequestMessage	jiva;giny;ginycore;oneair	4	5	oneair	PARTIEL		
AnomalySubareaInformationResponseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ApplicationPlayerInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ApplySpellModifierMessage	jiva;giny;oneair	3	5		PARTIEL		
AreaFightModificatorUpdateMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ArenaFightAnswerAcknowledgementMessage	jiva	1	5		DIVERGENT		
ArenaFighterIdleMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ArenaFighterLeaveMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ArenaLeagueRanking	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ArenaRankInfos	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ArenaRanking	giny;ginycore;oneair	3	5		PARTIEL		
AtlasPointInformationsMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AtlasPointsInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
AuthenticationTicketAcceptedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT	kra	1.00
AuthenticationTicketMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;giny;ginycore;oneair;symbioz	INVARIANT	kqz	1.00
AuthenticationTicketRefusedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BanConfirmMessage	symbioz	1	5		DIVERGENT		
BanRequestMessage	symbioz	1	5	symbioz	DIVERGENT		
BaseSpawnMonsterInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BasicAckMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicAllianceInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicCharactersListMessage	ginycore;symbioz	2	5		PARTIEL		
BasicDateMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicGuildInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicLatencyStatsMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicLatencyStatsRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicNamedAllianceInformations	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicNoOperationMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicPingMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;giny;ginycore;oneair;symbioz	INVARIANT	kqo	1.00
BasicPongMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT	kqy	1.00
BasicStatMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicStatWithDataMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicTimeMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT	lqu	1.00
BasicWhoAmIRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva	INVARIANT		
BasicWhoIsMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicWhoIsNoMatchMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BasicWhoIsRequestMessage	jiva;giny;ginycore;oneair;symbioz	5	5	jiva;symbioz	INVARIANT		
BidExchangerObjectInfo	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
BreachBonusMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachBranch	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachBranchesMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachBudgetMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachCharactersMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachEnterMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachExitRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachExitResponseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachGameFightEndMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachInvitationAnswerMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachInvitationCloseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachInvitationOfferMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachInvitationRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachInvitationResponseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachKickRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachKickResponseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachReward	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRewardBoughtMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRewardBuyMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRewardsMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRoomLockedMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRoomUnlockRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachRoomUnlockResultMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachSavedMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachStateMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL	lxo	0.62
BreachTeleportRequestMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BreachTeleportResponseMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BufferInformation	jiva;giny;ginycore;oneair	4	5		PARTIEL		
BulletinMessage	jiva;giny;ginycore;oneair	4	5		PARTIEL		
ChallengeAddMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeBonusChoiceMessage	jiva;giny;oneair	3	5	giny;oneair	PARTIEL		
ChallengeBonusChoiceSelectedMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeFightJoinRefusedMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ChallengeInfoMessage	ginycore;symbioz	2	5		PARTIEL		
ChallengeInformation	jiva;giny;oneair	3	5		PARTIEL		
ChallengeListMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeModSelectMessage	jiva;giny;oneair	3	5	giny;oneair	PARTIEL		
ChallengeModSelectedMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeNumberMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeProposalMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeReadyMessage	jiva;giny;oneair	3	5	giny;oneair	PARTIEL		
ChallengeResultMessage	jiva;giny;ginycore;oneair;symbioz	5	5		INVARIANT		
ChallengeSelectedMessage	jiva;giny;oneair	3	5		PARTIEL		
ChallengeSelectionMessage	jiva;giny;oneair	3	5	giny;oneair	PARTIEL		
ChallengeTargetInformation	jiva;giny;oneair	3	5		PARTIEL		
ChallengeTargetUpdateMessage	ginycore;symbioz	2	5		PARTIEL		
ChallengeTargetWithAttackerInformation	jiva;giny;oneair	3	5		PARTIEL		
ChallengeTargetsListMessage	ginycore;symbioz	2	5		PARTIEL		
ChallengeTargetsListRequestMessage	ginycore;symbioz	2	5	symbioz	PARTIEL		
ChallengeTargetsMessage	jiva;giny;oneair	3	5		PARTIEL		
