message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
ReleaseAccountMessage	9736	C2S	ConnectionHandler	HandleReleaseAccountMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:30	giny	2.68
ForceAccountMessage	78	C2S	ConnectionHandler	HandleForceAccountMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:35	giny	2.68
ServerSelectionMessage	1712	C2S	ConnectionHandler	HandleServerSelectionMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:57	giny	2.68
NicknameChoiceRequestMessage	1518	C2S	ConnectionHandler	HandleNicknameChoiceRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:127	giny	2.68
IdentificationMessage	7755	C2S	ConnectionHandler	HandleIdentificationMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:165	giny	2.68
HandshakeMessage	6	C2S	IPCHandler	HandleHandshakeMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:23	giny	2.68
IPCServerStatusUpdateMessage	11	C2S	IPCHandler	HandleUpdateServerStatusMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:38	giny	2.68
AccountRequestMessage	18	C2S	IPCHandler	HandleAccountRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:47	giny	2.68
IPCCharacterCreationRequestMessage	7	C2S	IPCHandler	HandleIPCCharacterCreationRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:66	giny	2.68
IPCCharacterDeletionRequestMessage	9	C2S	IPCHandler	HandleCharacterDeletionRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:86	giny	2.68
ResetWorldRequestMessage	16	C2S	IPCHandler	HandleResetWorldRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:100	giny	2.68
AuthenticationTicketMessage	1775	C2S	ApproachHandler	HandleAuthenticationTicketMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/ApproachHandler.cs:22	giny	2.68
ReloginTokenRequestMessage	8049	C2S	ApproachHandler	HandleReloginTokenRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/ApproachHandler.cs:53	giny	2.68
CharacterNameSuggestionRequestMessage	3929	C2S	CharacterHandler	HandleCharacterNameSuggestionRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:32	giny	2.68
CharacterCreationRequestMessage	7608	C2S	CharacterHandler	HandleCharacterCreationRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:37	giny	2.68
CharactersListRequestMessage	3965	C2S	CharacterHandler	HandleCharacterListRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:86	giny	2.68
CharacterFirstSelectionMessage	567	C2S	CharacterHandler	HandleCharacterFirstSelectionMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:97	giny	2.68
CharacterCanBeCreatedRequestMessage	7257	C2S	CharacterHandler	HandleCharacterCanBeCreatedRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:117	giny	2.68
CharacterDeletionPrepareRequestMessage	5833	C2S	CharacterHandler	HandleCharacterDeletionPrepareRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:122	giny	2.68
CharacterDeletionRequestMessage	2985	C2S	CharacterHandler	HandleCharacterDeletionRequestMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:132	giny	2.68
CharacterSelectionMessage	7194	C2S	CharacterHandler	HandleCharacterSelectionMessage	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:161	giny	2.68
CharacterReplayRequestMessage	3908	C2S	CharacterHandler	HandleCharacterReplayRequest	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/Approach/CharacterHandler.cs:188	giny	2.68
PopupWarningCloseRequestMessage	2188	C2S	BasicHandler	HandlePopupWarningCloseRequest	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/BasicHandler.cs:14	giny	2.68
BasicPingMessage	4681	C2S	BasicHandler	HandleBasicPing	refs/Giny.NETCore/Sources/Servers/Giny.World/Handlers/BasicHandler.cs:19	giny	2.68
