message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
ServerSelectionMessage	8531	C2S	ConnectionHandler	HandleServerSelectionMessage	refs/GinyCore/Giny.Auth/Handlers/ConnectionHandler.cs:30	ginycore	2.63
NicknameChoiceRequestMessage	8378	C2S	ConnectionHandler	HandleNicknameChoiceRequestMessage	refs/GinyCore/Giny.Auth/Handlers/ConnectionHandler.cs:100	ginycore	2.63
IdentificationMessage	7907	C2S	ConnectionHandler	HandleIdentificationMessage	refs/GinyCore/Giny.Auth/Handlers/ConnectionHandler.cs:138	ginycore	2.63
HandshakeMessage	6	C2S	IPCHandler	HandleHandshakeMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:22	ginycore	2.63
IPCServerStatusUpdateMessage	12	C2S	IPCHandler	HandleUpdateServerStatusMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:37	ginycore	2.63
AccountRequestMessage	3	C2S	IPCHandler	HandleAccountRequestMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:46	ginycore	2.63
IPCCharacterCreationRequestMessage	7	C2S	IPCHandler	HandleIPCCharacterCreationRequestMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:65	ginycore	2.63
IPCCharacterDeletionRequestMessage	9	C2S	IPCHandler	HandleCharacterDeletionRequestMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:85	ginycore	2.63
ResetWorldRequestMessage	15	C2S	IPCHandler	HandleResetWorldRequestMessage	refs/GinyCore/Giny.Auth/Handlers/IPCHandler.cs:99	ginycore	2.63
AuthenticationTicketMessage	6334	C2S	ApproachHandler	HandleAuthenticationTicketMessage	refs/GinyCore/Giny.World/Handlers/Approach/ApproachHandler.cs:22	ginycore	2.63
ReloginTokenRequestMessage	9853	C2S	ApproachHandler	HandleReloginTokenRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/ApproachHandler.cs:53	ginycore	2.63
CharacterNameSuggestionRequestMessage	3953	C2S	CharacterHandler	HandleCharacterNameSuggestionRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:30	ginycore	2.63
CharacterCreationRequestMessage	9740	C2S	CharacterHandler	HandleCharacterCreationRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:35	ginycore	2.63
CharactersListRequestMessage	9128	C2S	CharacterHandler	HandleCharacterListRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:76	ginycore	2.63
CharacterFirstSelectionMessage	3427	C2S	CharacterHandler	HandleCharacterFirstSelectionMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:87	ginycore	2.63
CharacterCanBeCreatedRequestMessage	7455	C2S	CharacterHandler	HandleCharacterCanBeCreatedRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:107	ginycore	2.63
CharacterDeletionRequestMessage	4005	C2S	CharacterHandler	HandleCharacterDeletionRequestMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:113	ginycore	2.63
CharacterSelectionMessage	5833	C2S	CharacterHandler	HandleCharacterSelectionMessage	refs/GinyCore/Giny.World/Handlers/Approach/CharacterHandler.cs:143	ginycore	2.63
BasicPingMessage	398	C2S	BasicHandler	HandleBasicPing	refs/GinyCore/Giny.World/Handlers/BasicHandler.cs:14	ginycore	2.63
GameContextCreateRequestMessage	2168	C2S	ContextHandler	HandleGameContextCreateRequestMessage	refs/GinyCore/Giny.World/Handlers/ContextHandler.cs:17	ginycore	2.63
GameContextReadyMessage	8859	C2S	ContextHandler	HandleGameContextReadyMessage	refs/GinyCore/Giny.World/Handlers/ContextHandler.cs:36	ginycore	2.63
GameActionFightCastOnTargetRequestMessage	6062	C2S	FightsHandler	HandleGameActionFightCastRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:19	ginycore	2.63
GameActionFightCastRequestMessage	1857	C2S	FightsHandler	HandleGameActionFightCastRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:34	ginycore	2.63
GameContextQuitMessage	1801	C2S	FightsHandler	HandleGameContextQuitMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:44	ginycore	2.63
GameFightPlacementPositionRequestMessage	1752	C2S	FightsHandler	HandleGameFightPlacementPositionRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:50	ginycore	2.63
GameFightPlacementSwapPositionsRequestMessage	8289	C2S	FightsHandler	HandleGameFightPlacementSwapPositionsRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:58	ginycore	2.63
GameFightJoinRequestMessage	8671	C2S	FightsHandler	HandleGameFightJoinRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:72	ginycore	2.63
GameFightReadyMessage	6127	C2S	FightsHandler	HandleGameFightReady	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:82	ginycore	2.63
GameContextKickMessage	4389	C2S	FightsHandler	HandleGameGameContextKickMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:88	ginycore	2.63
ShowCellRequestMessage	2348	C2S	FightsHandler	HandleShowCellRequestMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:101	ginycore	2.63
GameFightOptionToggleMessage	1236	C2S	FightsHandler	HandleFightOptionToggle	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:109	ginycore	2.63
GameActionAcknowledgementMessage	2893	C2S	FightsHandler	HandleGameActionAcknowledgementMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:117	ginycore	2.63
GameFightTurnFinishMessage	2650	C2S	FightsHandler	HandleGameFightTurnFinishMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:125	ginycore	2.63
GameFightTurnReadyMessage	3349	C2S	FightsHandler	HandleGameFightTurnReadyMessage	refs/GinyCore/Giny.World/Handlers/Fights/FightsHandler.cs:133	ginycore	2.63
DisconnectClientRequestMessage	4	C2S	IPCHandler	HandleDisconnectRequest	refs/GinyCore/Giny.World/Handlers/IPCHandler.cs:14	ginycore	2.63
IsIpConnectedRequestMessage	14	C2S	IPCHandler	HandleIsConnectedRequest	refs/GinyCore/Giny.World/Handlers/IPCHandler.cs:23	ginycore	2.63
AdminCommandMessage	3581	C2S	AdminHandler	HandleAdminCommandMessage	refs/GinyCore/Giny.World/Handlers/Roleplay/Admin/AdminHandler.cs:17	ginycore	2.63
AdminQuietCommandMessage	2793	C2S	AdminHandler	HandleAdminQuietCommandMessage	refs/GinyCore/Giny.World/Handlers/Roleplay/Admin/AdminHandler.cs:23	ginycore	2.63
GameRolePlayArenaRegisterMessage	3663	C2S	ArenaHandler	HandleGameRolePlayArenaRegisterMessage	refs/GinyCore/Giny.World/Handlers/Roleplay/Arena/ArenaHandler.cs:14	ginycore	2.63
GameRolePlayArenaUnregisterMessage	8259	C2S	ArenaHandler	HandleGameRolePlayArenaUnregisterMessage	refs/GinyCore/Giny.World/Handlers/Roleplay/Arena/ArenaHandler.cs:21	ginycore	2.63
GameRolePlayArenaFightAnswerMessage	8880	C2S	ArenaHandler	HandleGameRolePlayArenaFightAnswerMessage	refs/GinyCore/Giny.World/Handlers/Roleplay/Arena/ArenaHandler.cs:27	ginycore	2.63
ExchangeBidHouseTypeMessage	690	C2S	BidshopsHandler	HandleExchangeBidhouseTypes	refs/GinyCore/Giny.World/Handlers/Roleplay/Bidshops/BidshopsHandler.cs:17	ginycore	2.63
ExchangeBidHouseListMessage	1929	C2S	BidshopsHandler	HandleExchangeBidhouseList	refs/GinyCore/Giny.World/Handlers/Roleplay/Bidshops/BidshopsHandler.cs:25	ginycore	2.63
ExchangeBidHouseBuyMessage	6750	C2S	BidshopsHandler	HandleExchangeBidHouseBuy	refs/GinyCore/Giny.World/Handlers/Roleplay/Bidshops/BidshopsHandler.cs:33	ginycore	2.63
ExchangeBidHouseSearchMessage	6174	C2S	BidshopsHandler	HandleBidHouseSearch	refs/GinyCore/Giny.World/Handlers/Roleplay/Bidshops/BidshopsHandler.cs:43	ginycore	2.63
ExchangeBidHousePriceMessage	361	C2S	BidshopsHandler	HandleExchangeBidHousePrice	refs/GinyCore/Giny.World/Handlers/Roleplay/Bidshops/BidshopsHandler.cs:52	ginycore	2.63
