message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
ClearIdentificationMessage	888	C2S	ConnectionHandler	HandleClearIdentificationMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/ConnectionHandler.cs:85	jiva	2.42
IdentificationMessage	9262	C2S	ConnectionHandler	HandleIdentificationMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/ConnectionHandler.cs:277	jiva	2.42
ServerSelectionMessage	4134	C2S	ConnectionHandler	HandleServerSelectionMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/ConnectionHandler.cs:513	jiva	2.42
NicknameChoiceRequestMessage	4608	C2S	ConnectionHandler	HandleNicknameChoiceRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/ConnectionRegisterHandler.cs:11	jiva	2.42
AcquaintanceSearchMessage	1642	C2S	ConnectionHandler	HandleAcquaintanceSearchMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/ConnectionSearchHandler.cs:12	jiva	2.42
BasicPingMessage	7461	C2S	PingHandler	HandleBasicPingMessage	refs/dofus-emu-dev/Server/Stump.Server.AuthServer/Handlers/Connection/PingHandler.cs:8	jiva	2.42
GameActionAcknowledgementMessage	5751	C2S	ActionsHandler	HandleGameActionAcknowledgementMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Actions/ActionsHandler.cs:9	jiva	2.42
AuthenticationTicketMessage	6808	C2S	ApproachHandler	HandleAuthenticationTicketMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Approach/ApproachHandler.cs:74	jiva	2.42
ReloginTokenRequestMessage	7722	C2S	ApproachHandler	HandleReloginTokenRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Approach/ApproachHandler.cs:129	jiva	2.42
AdminQuietCommandMessage	8282	C2S	AuthorizedHandler	HandleAdminQuietCommandMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Authorized/AuthorizedHandler.cs:13	jiva	2.42
AdminCommandMessage	9773	C2S	AuthorizedHandler	HandleAdminCommandMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Authorized/AuthorizedHandler.cs:41	jiva	2.42
BasicWhoAmIRequestMessage	390	C2S	BasicHandler	HandleBasicWhoAmIRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Basic/BasicHandler.cs:22	jiva	2.42
BasicWhoIsRequestMessage	6759	C2S	BasicHandler	HandleBasicWhoIsRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Basic/BasicHandler.cs:51	jiva	2.42
NumericWhoIsRequestMessage	2359	C2S	BasicHandler	HandleNumericWhoIsRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Basic/BasicHandler.cs:87	jiva	2.42
CharacterFirstSelectionMessage	7638	C2S	CharacterHandler	HandleCharacterFirstSelectionMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterChoiceHandler.cs:39	jiva	2.42
CharacterSelectionMessage	6792	C2S	CharacterHandler	HandleCharacterSelectionMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterChoiceHandler.cs:46	jiva	2.42
CharacterSelectionWithRemodelMessage	3540	C2S	CharacterHandler	HandleCharacterSelectionWithRemodelMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterChoiceHandler.cs:73	jiva	2.42
CharactersListRequestMessage	2412	C2S	CharacterHandler	HandleCharacterListRequest	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterChoiceHandler.cs:348	jiva	2.42
CharacterSelectedForceReadyMessage	4057	C2S	CharacterHandler	HandleCharacterSelectedForceReadyMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterChoiceHandler.cs:382	jiva	2.42
CharacterCanBeCreatedRequestMessage	4275	C2S	CharacterHandler	HandleCharacterCanBeCreatedRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterCreationHandler.cs:24	jiva	2.42
CharacterCreationRequestMessage	491	C2S	CharacterHandler	HandleCharacterCreationRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterCreationHandler.cs:33	jiva	2.42
CharacterNameSuggestionRequestMessage	2000	C2S	CharacterHandler	HandleCharacterNameSuggestionRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterCreationHandler.cs:58	jiva	2.42
PopupWarningCloseRequestMessage	663	C2S	CharacterHandler	HandlePopupWarningCloseRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterDeletionHandler.cs:34	jiva	2.42
CharacterDeletionPrepareRequestMessage	3535	C2S	CharacterHandler	HandleCharacterDeletionPrepareRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterDeletionHandler.cs:40	jiva	2.42
CharacterDeletionRequestMessage	1489	C2S	CharacterHandler	HandleCharacterDeletionRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterDeletionHandler.cs:65	jiva	2.42
CharacterReplayRequestMessage	8786	C2S	CharacterHandler	HandleCharacterReplayRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterReplayHandler.cs:16	jiva	2.42
PlayerStatusUpdateRequestMessage	4213	C2S	CharacterStatusHandler	HandlePlayerStatusUpdateRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Characters/CharacterStatusHandler.cs:10	jiva	2.42
ChannelEnablingMessage	4965	C2S	ChatHandler	HandleChannelEnablingMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatChannelHandler.cs:9	jiva	2.42
ChatCommunityChannelSetCommunityRequestMessage	2893	C2S	ChatHandler	HandleChatCommunityChannelSetCommunityRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatChannelHandler.cs:22	jiva	2.42
ChatClientPrivateMessage	7053	C2S	ChatHandler	HandleChatClientPrivateMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatHandler.cs:21	jiva	2.42
ChatClientPrivateWithObjectMessage	9502	C2S	ChatHandler	HandleChatClientPrivateWithObjectMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatHandler.cs:111	jiva	2.42
ChatClientMultiMessage	3932	C2S	ChatHandler	HandleChatClientMultiMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatHandler.cs:200	jiva	2.42
ChatClientMultiWithObjectMessage	5473	C2S	ChatHandler	HandleChatClientMultiWithObjectMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatHandler.cs:206	jiva	2.42
ChatSmileyRequestMessage	9020	C2S	ChatHandler	HandleChatSmileyRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatSmileyHandler.cs:13	jiva	2.42
MoodSmileyRequestMessage	6420	C2S	ChatHandler	HandleMoodSmileyRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Chat/ChatSmileyHandler.cs:19	jiva	2.42
GameRolePlayArenaFightAnswerMessage	7230	C2S	ContextHandler	HandleGameRolePlayArenaFightAnswerMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextArenaHandler.cs:13	jiva	2.42
GameRolePlayArenaRegisterMessage	2855	C2S	ContextHandler	HandleGameRolePlayArenaRegisterMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextArenaHandler.cs:27	jiva	2.42
GameRolePlayArenaUnregisterMessage	326	C2S	ContextHandler	HandleGameRolePlayArenaUnregisterMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextArenaHandler.cs:43	jiva	2.42
ChallengeTargetsRequestMessage	2450	C2S	ContextHandler	HandleChallengeTargetsListRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextChallengeHandler.cs:16	jiva	2.42
GameActionFightCastRequestMessage	6438	C2S	ContextHandler	HandleGameActionFightCastRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextFightHandler.cs:26	jiva	2.42
GameActionFightCastOnTargetRequestMessage	6910	C2S	ContextHandler	HandleGameActionFightCastOnTargetRequestMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextFightHandler.cs:57	jiva	2.42
GameFightTurnFinishMessage	3915	C2S	ContextHandler	HandleGameFightTurnFinishMessage	refs/dofus-emu-dev/Server/Stump.Server.WorldServer/Handlers/Context/ContextFightHandler.cs:96	jiva	2.42
