message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
AuthenticationTicketMessage	kqz	C2S	GameNodeProxy	HandleTicketPresentation	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:14	jondo	3.6.10.10
AuthenticationTicketAcceptedMessage	kra	S2C	ConnectionProtocol	BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:16	jondo	3.6.10.10
BasicTimeMessage	lqu	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:17	jondo	3.6.10.10
BasicTimeMessage	lqu	S2C		BuildMapClock	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:17	jondo	3.6.10.10
HelloGameMessage	hoy	S2C	ConnectionProtocol	BuildHoy	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:18	jondo	3.6.10.10
ServerOptionalFeaturesMessage	kqu	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:19	jondo	3.6.10.10
	mgq	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:20	jondo	3.6.10.10
	mgt	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:21	jondo	3.6.10.10
	hpd	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:22	jondo	3.6.10.10
	krs	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:23	jondo	3.6.10.10
ContentCatalogVersionMessage	mgz	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:24	jondo	3.6.10.10
	kqp	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:25	jondo	3.6.10.10
CharactersListMessage	kvi	S2C		BuildCharactersList	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:26	jondo	3.6.10.10
CharactersListEndMessage	kvd	S2C		BuildWelcomeBurst	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:27	jondo	3.6.10.10
GiftsListMessage	jtg	S2C		BuildGiftCatalogue	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:28	jondo	3.6.10.10
LogoutResultMessage	kqr	S2C	GameNodeProxy	BuildKqrPayload	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:30	jondo	3.6.10.10
CharacterCreationRequestMessage	kvz	C2S	CharacterCreationHandler	CreateAsync	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:31	jondo	3.6.10.10
CharacterCreationResultMessage	kvb	S2C		CharacterCreationHandler	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:32	jondo	3.6.10.10
CharacterNameSuggestionSuccessMessage	kvk	S2C	CharacterCreationHandler	SuggestNameAsync	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:33	jondo	3.6.10.10
CharacterSelectionMessage	kvw	C2S		CharacterSelectionHandler	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:34	jondo	3.6.10.10
CharacterFirstSelectionMessage	kvl	C2S		CharacterSelectionHandler	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:35	jondo	3.6.10.10
CharacterSelectedSuccessMessage	kva	S2C		BuildCharacterSelectedSuccess	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:36	jondo	3.6.10.10
CharactersListRequestMessage	kpa	C2S	CharacterSelectionHandler	HandleCharacterListRequest	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:37	jondo	3.6.10.10
GameContextCreateRequestMessage	lqc	C2S		GameNodeProxy	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:38	jondo	3.6.10.10
CurrentMapMessage	jru	S2C		BuildLoadMap	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:39	jondo	3.6.10.10
CurrentMapMessage	jru	S2C	WorldEntry	SendMapAsync	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:39	jondo	3.6.10.10
	hjk	S2C		BuildMapDiscovered	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:40	jondo	3.6.10.10
MapComplementaryInformationsDataMessage	jss	S2C		BuildMapActors	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:42	jondo	3.6.10.10
MapLoadedMessage	lva	S2C		BuildActorsComplete	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:43	jondo	3.6.10.10
CharacterStatsListMessage	kub	S2C		BuildCharacteristics	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:44	jondo	3.6.10.10
CharacterStatsListMessage	kub	S2C	WorldEntry	ContainerOf	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:44	jondo	3.6.10.10
JobExperienceMultiUpdateMessage	irq	S2C	WorldEntry	ResetJobs	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:45	jondo	3.6.10.10
SpellListMessage	hms	S2C		BuildSpellList	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:46	jondo	3.6.10.10
InventoryContentMessage	ivx	S2C		BuildInventory	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:47	jondo	3.6.10.10
ShortcutBarContentMessage	itg	S2C		BuildSpellBar	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:48	jondo	3.6.10.10
ShortcutBarContentMessage	itg	S2C	WorldEntry	Rebuilt	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:48	jondo	3.6.10.10
GameMapMovementRequestMessage	jrw	C2S	WorldMoveHandler	ConfirmMovementAsync	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:49	jondo	3.6.10.10
GameMapMovementMessage	jsj	S2C		BuildActorMoved	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:50	jondo	3.6.10.10
MapMovementConfirmResponse	jsq	S2C_f3	ConnectionProtocol	Answer	refs/JondoEmu/datos/anclas_3.6.10.10.tsv:52	jondo	3.6.10.10
