message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
ReleaseAccountMessage	9736	C2S	ConnectionHandler	HandleReleaseAccountMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:30	oneair	2.68-docker
ForceAccountMessage	78	C2S	ConnectionHandler	HandleForceAccountMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:35	oneair	2.68-docker
ServerSelectionMessage	1712	C2S	ConnectionHandler	HandleServerSelectionMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:57	oneair	2.68-docker
NicknameChoiceRequestMessage	1518	C2S	ConnectionHandler	HandleNicknameChoiceRequestMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:127	oneair	2.68-docker
IdentificationMessage	7755	C2S	ConnectionHandler	HandleIdentificationMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/ConnectionHandler.cs:165	oneair	2.68-docker
HandshakeMessage	6	C2S	IPCHandler	HandleHandshakeMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:23	oneair	2.68-docker
IPCServerStatusUpdateMessage	11	C2S	IPCHandler	HandleUpdateServerStatusMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:38	oneair	2.68-docker
AccountRequestMessage	18	C2S	IPCHandler	HandleAccountRequestMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:47	oneair	2.68-docker
IPCCharacterCreationRequestMessage	7	C2S	IPCHandler	HandleIPCCharacterCreationRequestMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:66	oneair	2.68-docker
IPCCharacterDeletionRequestMessage	9	C2S	IPCHandler	HandleCharacterDeletionRequestMessage	refs/dofus-server-client-2.68/server/giny/Sources/Servers/Giny.Auth/Handlers/IPCHandler.cs:86	oneair	2.68-docker
