message_nom	protocol_id	direction	handler_classe	handler_methode	fichier:ligne	emu	version
IdentificationMessage	4	C2S	ConnectionHandler	HandleIdentificationMessage	refs/Symbioz-2.38/Symbioz.Auth/Handlers/ConnectionHandler.cs:72	symbioz	2.38
NicknameChoiceRequestMessage	5639	C2S	ConnectionHandler	HandleNicknameChoiceRequestMessage	refs/Symbioz-2.38/Symbioz.Auth/Handlers/ConnectionHandler.cs:89	symbioz	2.38
ServerSelectionMessage	40	C2S	ConnectionHandler	HandleServerSelection	refs/Symbioz-2.38/Symbioz.Auth/Handlers/ConnectionHandler.cs:163	symbioz	2.38
AcquaintanceSearchMessage	6144	C2S	ConnectionHandler	HandleAcquaintanceSearch	refs/Symbioz-2.38/Symbioz.Auth/Handlers/ConnectionHandler.cs:174	symbioz	2.38
WorldRegistrationRequestMessage	6700	C2S	TransitionHandler	HandleWorldRegistration	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:32	symbioz	2.38
AccountRequestMessage	6701	C2S	TransitionHandler	HandleAccountRequestMessage	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:44	symbioz	2.38
OnCharacterCreationMessage	6703	C2S	TransitionHandler	HandleCharacterCreationRequest	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:58	symbioz	2.38
ResetDatabaseMessage	6707	C2S	TransitionHandler	HandleDatabaseReset	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:80	symbioz	2.38
SetServerStatusMessage	6708	C2S	TransitionHandler	HandleSetServerStatus	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:91	symbioz	2.38
OnCharacterDeletionMessage	6711	C2S	TransitionHandler	HandleCharacterDeletion	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:103	symbioz	2.38
BanRequestMessage	6712	C2S	TransitionHandler	HandleBanRequest	refs/Symbioz-2.38/Symbioz.Auth/Handlers/TransitionHandler.cs:109	symbioz	2.38
ClientKeyMessage	5607	C2S	ApproachHandler	HandleClientKeyRequestMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/ApproachHandler.cs:25	symbioz	2.38
ReloginTokenRequestMessage	6540	C2S	ApproachHandler	HandleReloginTokenRequestMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/ApproachHandler.cs:30	symbioz	2.38
AuthenticationTicketMessage	110	C2S	ApproachHandler	HandleAuthentificationTicketMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/ApproachHandler.cs:35	symbioz	2.38
CharactersListRequestMessage	150	C2S	CharacterHandler	HandleCharacterList	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:33	symbioz	2.38
CharacterDeletionRequestMessage	165	C2S	CharacterHandler	HandleCharacterDeletionRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:39	symbioz	2.38
CharacterNameSuggestionRequestMessage	162	C2S	CharacterHandler	HandleCharacterNameSuggestionRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:86	symbioz	2.38
CharacterCreationRequestMessage	160	C2S	CharacterHandler	HandleCharacterCreation	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:92	symbioz	2.38
CharacterSelectionMessage	152	C2S	CharacterHandler	HandleCharacterSelection	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:185	symbioz	2.38
CharacterSelectionWithRemodelMessage	6549	C2S	CharacterHandler	HandleCharacterSelectionWithRemodel	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/CharacterHandler.cs:194	symbioz	2.38
GameContextCreateRequestMessage	250	C2S	ContextHandler	HandleCreateContextRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/ContextHandler.cs:15	symbioz	2.38
StartupActionsExecuteMessage	1302	C2S	StartupActionsHandler	HandleStartupActionsExecute	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/StartupActionsHandler.cs:26	symbioz	2.38
StartupActionsObjetAttributionMessage	1303	C2S	StartupActionsHandler	HandleStartupActionsObjetAttribution	refs/Symbioz-2.38/Symbioz.World/Handlers/Approach/StartupActionsHandler.cs:31	symbioz	2.38
BasicPingMessage	182	C2S	BasicHandler	HandleBasicPing	refs/Symbioz-2.38/Symbioz.World/Handlers/BasicHandler.cs:14	symbioz	2.38
GameFightTurnReadyMessage	716	C2S	FightHandler	HandleTurnReady	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:19	symbioz	2.38
GameFightTurnFinishMessage	718	C2S	FightHandler	HandleFightTurnFinishMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:25	symbioz	2.38
GameActionAcknowledgementMessage	957	C2S	FightHandler	HandleGameActionAcknowledgement	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:33	symbioz	2.38
GameActionFightCastRequestMessage	1005	C2S	FightHandler	HandleGameActionFightSpellCastRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:39	symbioz	2.38
GameActionFightCastOnTargetRequestMessage	6330	C2S	FightHandler	HandleGameActionFightCastOnTargetRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:55	symbioz	2.38
ChallengeTargetsListRequestMessage	5614	C2S	FightHandler	HandleChallengeTargetsListRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:74	symbioz	2.38
ShowCellRequestMessage	5611	C2S	FightHandler	HandleShowCellRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightHandler.cs:82	symbioz	2.38
GameFightPlacementSwapPositionsRequestMessage	6541	C2S	FightPreparationHandler	HandleGameFightPlacementSwapPositionsRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:20	symbioz	2.38
GameFightPlacementPositionRequestMessage	704	C2S	FightPreparationHandler	HandleGameFightPlacementPositionRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:33	symbioz	2.38
GameContextQuitMessage	255	C2S	FightPreparationHandler	HandleGameContextQuitMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:41	symbioz	2.38
GameFightJoinRequestMessage	701	C2S	FightPreparationHandler	HandleGameFightJoinRequestMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:47	symbioz	2.38
GameContextKickMessage	6081	C2S	FightPreparationHandler	HandleGameContextKickMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:57	symbioz	2.38
GameFightOptionToggleMessage	707	C2S	FightPreparationHandler	HandleFightOptionToggle	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:68	symbioz	2.38
GameFightReadyMessage	708	C2S	FightPreparationHandler	HandleGameFightReady	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:74	symbioz	2.38
GameRolePlayPlayerFightRequestMessage	5731	C2S	FightPreparationHandler	HandleGameRolePlayPlayerFightRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:85	symbioz	2.38
GameRolePlayPlayerFightFriendlyAnswerMessage	5732	C2S	FightPreparationHandler	HandleGameRolePlayPlayerFightFriendlyAnswer	refs/Symbioz-2.38/Symbioz.World/Handlers/Fight/FightPreparationHandler.cs:124	symbioz	2.38
AdminQuietCommandMessage	5662	C2S	AdminHandler	HandleAdminQuietCommand	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Admin/AdminHandler.cs:17	symbioz	2.38
GameRolePlayArenaRegisterMessage	6280	C2S	ArenaHandler	HandleGameRolePlayArenaRegisterMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Arena/ArenaHandler.cs:15	symbioz	2.38
GameRolePlayArenaUnregisterMessage	6282	C2S	ArenaHandler	HandleGameRolePlayArenaUnregisterMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Arena/ArenaHandler.cs:29	symbioz	2.38
GameRolePlayArenaFightAnswerMessage	6279	C2S	ArenaHandler	HandleGameRolePlayArenaFightAnswerMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Arena/ArenaHandler.cs:35	symbioz	2.38
TitlesAndOrnamentsListRequestMessage	6363	C2S	TitlesOrnamentsHandler	HandleTitlesAndOrnamentsList	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Aspect/TitlesOrnamentsHandler.cs:14	symbioz	2.38
OrnamentSelectRequestMessage	6374	C2S	TitlesOrnamentsHandler	HandleOrnamentSelect	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Aspect/TitlesOrnamentsHandler.cs:19	symbioz	2.38
TitleSelectRequestMessage	6365	C2S	TitlesOrnamentsHandler	HandleTitleSelect	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Aspect/TitlesOrnamentsHandler.cs:25	symbioz	2.38
ChatSmileyRequestMessage	800	C2S	ChatHandler	HandleChatSmileyRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Chat/ChatHandler.cs:51	symbioz	2.38
ChatClientMultiWithObjectMessage	862	C2S	ChatHandler	HandleChatClientMultiWithObject	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Chat/ChatHandler.cs:56	symbioz	2.38
ChatClientMultiMessage	861	C2S	ChatHandler	HandleChatMultiClient	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Chat/ChatHandler.cs:61	symbioz	2.38
ChatClientPrivateMessage	851	C2S	ChatHandler	ChatClientPrivate	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Chat/ChatHandler.cs:66	symbioz	2.38
ExchangeCraftCountRequestMessage	6597	C2S	ExchangesHandler	HandleExchangeCraftCount	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:18	symbioz	2.38
ExchangeSetCraftRecipeMessage	6389	C2S	ExchangesHandler	HandleExchangeSetCraftRecipe	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:26	symbioz	2.38
ExchangeBidHouseSearchMessage	5806	C2S	ExchangesHandler	HandleBidHouseSearch	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:34	symbioz	2.38
ExchangeBidHouseBuyMessage	5804	C2S	ExchangesHandler	HandleExchangeBidHouseBuy	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:42	symbioz	2.38
ExchangeBidHouseListMessage	5807	C2S	ExchangesHandler	HandleExchangeBidhouseList	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:50	symbioz	2.38
ExchangeBidHouseTypeMessage	5803	C2S	ExchangesHandler	HandleExchangeBidhouseTypes	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:58	symbioz	2.38
ExchangeObjectModifyPricedMessage	6238	C2S	ExchangesHandler	HandleExchangeObjectModifyPriced	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:66	symbioz	2.38
ExchangeObjectMovePricedMessage	5514	C2S	ExchangesHandler	HandleExchangeObjectMovePriced	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:74	symbioz	2.38
ExchangeObjectMoveMessage	5518	C2S	ExchangesHandler	HandleExchangeObjectMove	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:82	symbioz	2.38
ExchangeReadyMessage	5511	C2S	ExchangesHandler	HandleExchangeReady	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:87	symbioz	2.38
ExchangeObjectMoveKamaMessage	5520	C2S	ExchangesHandler	HandleExchangeObjectMoveKamas	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:93	symbioz	2.38
ExchangePlayerRequestMessage	5773	C2S	ExchangesHandler	HandleExchangePlayerRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:101	symbioz	2.38
ExchangeAcceptMessage	5508	C2S	ExchangesHandler	HandleExchangeAccept	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:138	symbioz	2.38
ExchangeBuyMessage	5774	C2S	ExchangesHandler	HandleExchangeBuy	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:144	symbioz	2.38
ExchangeSellMessage	5778	C2S	ExchangesHandler	HandleExchangeSell	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Exchanges/ExchangesHandler.cs:152	symbioz	2.38
GuildMotdSetRequestMessage	6588	C2S	GuildsHandler	HandleGuildMotdSetRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:19	symbioz	2.38
GuildCreationValidMessage	5546	C2S	GuildsHandler	HandleGuildCreationRequest	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:29	symbioz	2.38
GuildInvitationMessage	5551	C2S	GuildsHandler	HandleGuildInvitationMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:35	symbioz	2.38
GuildKickRequestMessage	5887	C2S	GuildsHandler	HandleGuildKickRequestMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:56	symbioz	2.38
GuildInvitationAnswerMessage	5556	C2S	GuildsHandler	HandleGuildInvitationAnswerMessage	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:70	symbioz	2.38
GuildChangeMemberParametersMessage	5549	C2S	GuildsHandler	HandleGuildChangeMemberParameters	refs/Symbioz-2.38/Symbioz.World/Handlers/RolePlay/Guilds/GuildsHandler.cs:81	symbioz	2.38
