message_nom	protocol_id	fichier:ligne	nb_champs	champs
AccountMessage	2	refs/GinyCore/Giny.Protocol/IPC/Messages/AccountMessage.cs:14	1	Account:Account
AccountRequestMessage	3	refs/GinyCore/Giny.Protocol/IPC/Messages/AccountRequestMessage.cs:13	1	ticket:string
DisconnectClientRequestMessage	4	refs/GinyCore/Giny.Protocol/IPC/Messages/DisconnectClientRequestMessage.cs:13	1	accountId:int
DisconnectClientResultMessage	5	refs/GinyCore/Giny.Protocol/IPC/Messages/DisconnectClientResultMessage.cs:14	1	sucess:bool
HandshakeMessage	6	refs/GinyCore/Giny.Protocol/IPC/Messages/HandshakeMessage.cs:14	1	serverId:short
IPCCharacterCreationRequestMessage	7	refs/GinyCore/Giny.Protocol/IPC/Messages/IPCCharacterCreationRequestMessage.cs:13	2	accountId:int;characterId:long
IPCCharacterDeletionRequestMessage	9	refs/GinyCore/Giny.Protocol/IPC/Messages/IPCCharacterDeletionRequestMessage.cs:13	2	accountId:int;characterId:long
IPCServerStatusUpdateMessage	12	refs/GinyCore/Giny.Protocol/IPC/Messages/IPCServerStatusUpdateMessage.cs:15	1	status:ServerStatusEnum
IsIpConnectedMessage	13	refs/GinyCore/Giny.Protocol/IPC/Messages/IsIpConnectedMessage.cs:13	1	connected:bool
IsIpConnectedRequestMessage	14	refs/GinyCore/Giny.Protocol/IPC/Messages/IsIpConnectedRequestMessage.cs:13	1	ip:string
ResetWorldRequestMessage	15	refs/GinyCore/Giny.Protocol/IPC/Messages/ResetWorldRequestMessage.cs:13	0	
ResetWorldResultMessage	17	refs/GinyCore/Giny.Protocol/IPC/Messages/ResetWorldResultMessage.cs:13	1	success:bool
AdminCommandMessage	3581	refs/GinyCore/Giny.Protocol/Messages/Authorized/AdminCommandMessage.cs:12	1	content:string
AdminQuietCommandMessage	2793	refs/GinyCore/Giny.Protocol/Messages/Authorized/AdminQuietCommandMessage.cs:12	0	
ConsoleCommandsListMessage	6227	refs/GinyCore/Giny.Protocol/Messages/Authorized/ConsoleCommandsListMessage.cs:12	3	aliases:string[];args:string[];descriptions:string[]
ConsoleMessage	806	refs/GinyCore/Giny.Protocol/Messages/Authorized/ConsoleMessage.cs:12	2	type:byte;content:string
BasicPingMessage	398	refs/GinyCore/Giny.Protocol/Messages/Common/Basic/BasicPingMessage.cs:12	1	quiet:bool
BasicPongMessage	5303	refs/GinyCore/Giny.Protocol/Messages/Common/Basic/BasicPongMessage.cs:12	1	quiet:bool
BasicStatMessage	2297	refs/GinyCore/Giny.Protocol/Messages/Common/Basic/BasicStatMessage.cs:12	2	timeSpent:double;statId:short
BasicStatWithDataMessage	5377	refs/GinyCore/Giny.Protocol/Messages/Common/Basic/BasicStatWithDataMessage.cs:12	1	datas:StatisticData[]
CredentialsAcknowledgementMessage	3514	refs/GinyCore/Giny.Protocol/Messages/Connection/CredentialsAcknowledgementMessage.cs:12	0	
HelloConnectMessage	6424	refs/GinyCore/Giny.Protocol/Messages/Connection/HelloConnectMessage.cs:12	2	salt:string;key:byte[]
