message_nom	protocol_id	fichier:ligne	nb_champs	champs
ClearIdentificationMessage	888	refs/dofus-emu-dev/DofusProtocol/Messages/Custom/ClearIdentificationMessage.cs:7	7	autoconnect:bool;lang:string;username:string;password:string;serverId:short;serverIp:string;hardwareId:string
RawDataMessageFixed	6253	refs/dofus-emu-dev/DofusProtocol/Messages/Custom/RawDataMessageFixed.cs:41	1	content:byte[]
AdminCommandMessage	9773	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/authorized/AdminCommandMessage.cs:15	2	messageUuid:Types.Uuid;content:string
AdminQuietCommandMessage	8282	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/authorized/AdminQuietCommandMessage.cs:15	0	
ConsoleCommandsListMessage	869	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/authorized/ConsoleCommandsListMessage.cs:15	3	aliases:IEnumerable<string>;args:IEnumerable<string>;descriptions:IEnumerable<string>
ConsoleEndMessage	9802	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/authorized/ConsoleEndMessage.cs:15	2	consoleUuid:Types.Uuid;isSuccess:bool
ConsoleMessage	7923	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/authorized/ConsoleMessage.cs:15	2	type:sbyte;content:string
NetworkDataContainerMessage	2	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/common/NetworkDataContainerMessage.cs:15	0	
BasicPingMessage	7461	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/common/basic/BasicPingMessage.cs:15	1	quiet:bool
BasicPongMessage	4877	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/common/basic/BasicPongMessage.cs:15	1	quiet:bool
BasicStatMessage	2233	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/common/basic/BasicStatMessage.cs:15	2	timeSpent:double;statId:short
BasicStatWithDataMessage	6918	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/common/basic/BasicStatWithDataMessage.cs:15	1	datas:IEnumerable<Types.StatisticData>
CredentialsAcknowledgementMessage	7628	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/CredentialsAcknowledgementMessage.cs:15	0	
ForceAccountErrorMessage	5352	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/ForceAccountErrorMessage.cs:15	0	
ForceAccountMessage	5654	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/ForceAccountMessage.cs:15	1	accountId:int
ForceAccountStatusMessage	25	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/ForceAccountStatusMessage.cs:15	4	force:bool;forcedAccountId:int;forcedNickname:string;forcedTag:string
HelloConnectMessage	5586	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/HelloConnectMessage.cs:15	2	salt:string;key:IEnumerable<sbyte>
IdentificationFailedBannedMessage	8668	refs/dofus-emu-dev/DofusProtocol/Messages/Messages/connection/IdentificationFailedBannedMessage.cs:15	1	banEndDate:double
