message_nom	protocol_id	fichier:ligne	nb_champs	champs	nom_propose	nom_propose_provenance
hdw		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4444	2	flkw:Any;flkx:int32		
hdx		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4449	2	fllb:Any;fllc:repeated int32		
hdy		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4454	2	fllg:Any;fllh:int32		
hea		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4459	3	flll:hdx;fllm:hdy;flln:hdw		
hed		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4465	0			
heg		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4468	4	fllw:int32;fllx:hee;flly:repeated hex;fllz:string		
heh		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4475	6	flmd:lba;flme:int32;flmf:int32;flmg:int32;flmh:int32;flmi:string		
hei		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4484	1	flmm:repeated heg		
hek		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4488	2	flmq:bool;flmr:bool		
hem		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4493	2	flmv:hek;flmw:repeated lfo		
hen		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4498	1	flna:repeated int32		
heo		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4502	4	flne:int32;flnf:bool;flng:int64;flnh:int32		
heq		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4509	4	flnm:string;flnn:repeated int32;flno:heo;flnp:repeated int32		
her		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4516	1	flnt:repeated int32		
het		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4520	9	flnx:string;flny:bool;flnz:bool;floa:repeated int64;flob:string;floc:repeated int64;flod:bool;floe:int64;flof:int64		
hev		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4532	4	flol:repeated int32;flom:hes;flon:string;floo:bool		
hex		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4539	9	flot:her;flou:heq;flov:int32;flow:bool;flox:int64;floy:bool;floz:hev;flpa:int32;flpb:bool		
hfa		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4551	5	flpk:int32;flpl:repeated hfl;flpm:hec;flpn:hfl;flpo:hfl		
hfb		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4559	0			
hfd		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4562	3	flpv:hez;flpw:hfa;flpx:hfb		
hfe		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4568	2	flqc:repeated hgc;flqd:repeated hgc		
hff		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4573	0			
hfh		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4576	2	flqk:hff;flql:int32		
hfi		refs/JondoEmu/datos/protocolo_3.6.10.10.proto:4581	2	flqp:string;flqq:int32		
