message_nom	protocol_id	fichier:ligne	nb_champs	champs
AccountMessage	2	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/AccountMessage.cs:14	1	Account:Account
AccountRequestMessage	18	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/AccountRequestMessage.cs:13	1	ticket:string
DisconnectClientRequestMessage	4	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/DisconnectClientRequestMessage.cs:13	1	accountId:int
DisconnectClientResultMessage	5	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/DisconnectClientResultMessage.cs:14	1	sucess:bool
HandshakeMessage	6	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/HandshakeMessage.cs:14	1	serverId:short
IPCCharacterCreationRequestMessage	7	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/IPCCharacterCreationRequestMessage.cs:13	2	accountId:int;characterId:long
IPCCharacterDeletionRequestMessage	9	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/IPCCharacterDeletionRequestMessage.cs:13	2	accountId:int;characterId:long
IPCServerStatusUpdateMessage	11	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/IPCServerStatusUpdateMessage.cs:15	1	status:ServerStatusEnum
IsIpConnectedMessage	13	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/IsIpConnectedMessage.cs:13	1	connected:bool
IsIpConnectedRequestMessage	12	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/IsIpConnectedRequestMessage.cs:13	1	ip:string
ResetWorldRequestMessage	16	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/ResetWorldRequestMessage.cs:13	0	
ResetWorldResultMessage	19	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/IPC/Messages/ResetWorldResultMessage.cs:13	1	success:bool
AdminCommandMessage	3305	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Authorized/AdminCommandMessage.cs:12	2	messageUuid:Uuid;content:string
AdminQuietCommandMessage	3781	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Authorized/AdminQuietCommandMessage.cs:12	0	
ConsoleCommandsListMessage	5709	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Authorized/ConsoleCommandsListMessage.cs:12	3	aliases:string[];args:string[];descriptions:string[]
ConsoleEndMessage	7083	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Authorized/ConsoleEndMessage.cs:12	2	consoleUuid:Uuid;isSuccess:bool
ConsoleMessage	5631	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Authorized/ConsoleMessage.cs:12	2	type:byte;content:string
BasicPingMessage	4681	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Common/Basic/BasicPingMessage.cs:12	1	quiet:bool
BasicPongMessage	5180	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Common/Basic/BasicPongMessage.cs:12	1	quiet:bool
BasicStatMessage	6463	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Common/Basic/BasicStatMessage.cs:12	2	timeSpent:double;statId:short
BasicStatWithDataMessage	2819	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Common/Basic/BasicStatWithDataMessage.cs:12	1	datas:StatisticData[]
CredentialsAcknowledgementMessage	8100	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/CredentialsAcknowledgementMessage.cs:12	0	
ForceAccountErrorMessage	8978	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/ForceAccountErrorMessage.cs:12	0	
ForceAccountMessage	78	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/ForceAccountMessage.cs:12	1	accountId:int
ForceAccountStatusMessage	7528	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/ForceAccountStatusMessage.cs:12	4	force:bool;forcedAccountId:int;forcedNickname:string;forcedTag:string
HelloConnectMessage	2909	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/HelloConnectMessage.cs:12	2	salt:string;key:byte[]
IdentificationFailedBannedMessage	6412	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/IdentificationFailedBannedMessage.cs:12	1	banEndDate:double
IdentificationFailedForBadVersionMessage	5123	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/IdentificationFailedForBadVersionMessage.cs:13	1	requiredVersion:Version
IdentificationFailedMessage	7388	refs/dofus-server-client-2.68/server/giny/Sources/Giny.Protocol/Messages/Connection/IdentificationFailedMessage.cs:12	1	reason:byte
