message_nom	protocol_id	fichier:ligne	nb_champs	champs
AdminCommandMessage	76	refs/Symbioz-2.38/Symbioz.Protocol/Messages/authorized/AdminCommandMessage.cs:33	1	content:string
AdminQuietCommandMessage	5662	refs/Symbioz-2.38/Symbioz.Protocol/Messages/authorized/AdminQuietCommandMessage.cs:33	0	
ConsoleCommandsListMessage	6127	refs/Symbioz-2.38/Symbioz.Protocol/Messages/authorized/ConsoleCommandsListMessage.cs:33	3	aliases:string[];args:string[];descriptions:string[]
ConsoleMessage	75	refs/Symbioz-2.38/Symbioz.Protocol/Messages/authorized/ConsoleMessage.cs:33	2	type:sbyte;content:string
NetworkDataContainerMessage	2	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/NetworkDataContainerMessage.cs:33	0	
AggregateStatMessage	6669	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/AggregateStatMessage.cs:33	1	statId:ushort
AggregateStatWithDataMessage	6662	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/AggregateStatWithDataMessage.cs:33	1	datas:Types.StatisticData[]
BasicPingMessage	182	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/BasicPingMessage.cs:33	1	quiet:bool
BasicPongMessage	183	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/BasicPongMessage.cs:33	1	quiet:bool
BasicStatMessage	6530	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/BasicStatMessage.cs:33	2	timeSpent:double;statId:ushort
BasicStatWithDataMessage	6573	refs/Symbioz-2.38/Symbioz.Protocol/Messages/common/basic/BasicStatWithDataMessage.cs:33	1	datas:Types.StatisticData[]
CredentialsAcknowledgementMessage	6314	refs/Symbioz-2.38/Symbioz.Protocol/Messages/connection/CredentialsAcknowledgementMessage.cs:33	0	
HelloConnectMessage	3	refs/Symbioz-2.38/Symbioz.Protocol/Messages/connection/HelloConnectMessage.cs:33	2	salt:string;key:sbyte[]
IdentificationAccountForceMessage	6119	refs/Symbioz-2.38/Symbioz.Protocol/Messages/connection/IdentificationAccountForceMessage.cs:33	1	forcedAccountLogin:string
