nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	efi	efi		1:int64:bkdz;2:ebg:bkec;3:string:bkxf	refs/dofus-deobfs/protos/filtered/efi.proto:3
	efl	efl		1:bool:blel;2:Error:blem	refs/dofus-deobfs/protos/filtered/efl.proto:3
	efm	efm		1:int32:bleq;2:int32:bler;3:efn:bles	refs/dofus-deobfs/protos/filtered/efm.proto:4
	efn	efn		1:int64:blfi;2:int64:blfj	refs/dofus-deobfs/protos/filtered/efn.proto:3
	egj	egj			refs/dofus-deobfs/protos/filtered/egj.proto:3
	hdh	hdh		1:hdi:egcc;2:hdj:egcd;3:hdk:egce	refs/dofus-deobfs/protos/filtered/hdh.proto:6
	hdi	hdi		1:int32:egcj;2:google.protobuf.Any:egck	refs/dofus-deobfs/protos/filtered/hdi.proto:4
	hdj	hdj		1:int32:egco;2:google.protobuf.Any:egcp	refs/dofus-deobfs/protos/filtered/hdj.proto:4
	hdk	hdk		1:google.protobuf.Any:egct	refs/dofus-deobfs/protos/filtered/hdk.proto:4
	hdo	hdo		1:hdm:egcy;2:int32:egcz	refs/dofus-deobfs/protos/filtered/hdo.proto:3
	hdr	hdr		1:int32:egdf	refs/dofus-deobfs/protos/filtered/hdr.proto:3
	hds	hds		1:hdq:egdj	refs/dofus-deobfs/protos/filtered/hds.proto:4
	hdt	hdt		1:hdq:egdn;2:int32:egdo	refs/dofus-deobfs/protos/filtered/hdt.proto:4
	hdu	hdu		1:hdq:egds;2:int32:egdt	refs/dofus-deobfs/protos/filtered/hdu.proto:4
	hdv	hdv		1:hdq:egdx	refs/dofus-deobfs/protos/filtered/hdv.proto:4
	hdw	hdw		1:int32:egeb	refs/dofus-deobfs/protos/filtered/hdw.proto:3
	hdx	hdx		1:repeated int32:egef	refs/dofus-deobfs/protos/filtered/hdx.proto:3
	hea	hea		1:hdq:egej;2:hdy:egek	refs/dofus-deobfs/protos/filtered/hea.proto:4
	hem	hem		1:hdq:egfx;2:int64:egfy;3:repeated heh:egfz;4:int32:egga;5:int32:eggb;6:int32:eggc;7:int32:eggd;8:repeated hek:egge	refs/dofus-deobfs/protos/filtered/hem.proto:5
	hem+heh	.heh		1:hec:egfj;2:hed:egfk;3:hee:egfl;4:Fight:egfm;5:hef:egfn	refs/dofus-deobfs/protos/filtered/hem.proto:14
	hem+heh+hec	.hec		1:jdf:egeo;2:int32:egep	refs/dofus-deobfs/protos/filtered/hem.proto:22
	hem+heh+hed	.hed		1:jdf:eget;2:int32:egeu	refs/dofus-deobfs/protos/filtered/hem.proto:26
	hem+heh+hee	.hee		1:jdf:egey;2:int32:egez	refs/dofus-deobfs/protos/filtered/hem.proto:30
	hem+heh+Fight	.Fight			refs/dofus-deobfs/protos/filtered/hem.proto:34
	hem+heh+hef	.hef			refs/dofus-deobfs/protos/filtered/hem.proto:36
	hem+hek	.hek		1:int64:egfs;2:hei:egft	refs/dofus-deobfs/protos/filtered/hem.proto:39
	hen	hen		1:hdq:eggi	refs/dofus-deobfs/protos/filtered/hen.proto:4
	heq	heq		1:hdq:eggm;2:heo:eggn;3:int32:eggo	refs/dofus-deobfs/protos/filtered/heq.proto:4
	het	het		1:hdq:eggt;2:her:eggu;3:int32:eggv	refs/dofus-deobfs/protos/filtered/het.proto:4
	hex	hex		1:repeated int32:eghd;2:repeated int32:eghe	refs/dofus-deobfs/protos/filtered/hex.proto:3
	hey	hey		1:int32:eghi	refs/dofus-deobfs/protos/filtered/hey.proto:3
	hez	hez		1:int32:eghm	refs/dofus-deobfs/protos/filtered/hez.proto:3
	hfa	hfa		1:int32:eghq	refs/dofus-deobfs/protos/filtered/hfa.proto:3
	hfb	hfb		1:int32:eghu	refs/dofus-deobfs/protos/filtered/hfb.proto:3
	hfc	hfc		1:int32:eghy	refs/dofus-deobfs/protos/filtered/hfc.proto:3
	hfd	hfd		1:hev:egic	refs/dofus-deobfs/protos/filtered/hfd.proto:4
	hfe	hfe		1:int32:egig	refs/dofus-deobfs/protos/filtered/hfe.proto:3
	hff	hff		1:hev:egik	refs/dofus-deobfs/protos/filtered/hff.proto:4
	hfi	hfi		1:hfh:egip;2:hfh:egiq;3:int64:egir	refs/dofus-deobfs/protos/filtered/hfi.proto:4
	hfj	hfj			refs/dofus-deobfs/protos/filtered/hfj.proto:3
	hfk	hfk		1:bool:egiy	refs/dofus-deobfs/protos/filtered/hfk.proto:3
	hfl	hfl		1:bool:egjc	refs/dofus-deobfs/protos/filtered/hfl.proto:3
	hfm	hfm		1:bool:egjg	refs/dofus-deobfs/protos/filtered/hfm.proto:3
	hfn	hfn		1:bool:egjk	refs/dofus-deobfs/protos/filtered/hfn.proto:3
	hfo	hfo		1:int64:egjo	refs/dofus-deobfs/protos/filtered/hfo.proto:3
	hfp	hfp		1:hfh:egjs;2:repeated hgc:egjt;3:int64:egju	refs/dofus-deobfs/protos/filtered/hfp.proto:5
	hfq	hfq		1:repeated int64:egjz	refs/dofus-deobfs/protos/filtered/hfq.proto:3
	hfr	hfr		1:int32:egkd	refs/dofus-deobfs/protos/filtered/hfr.proto:3
	hfs	hfs		1:int32:egkh;2:int64:egki;3:repeated int64:egkj	refs/dofus-deobfs/protos/filtered/hfs.proto:3
	hft	hft		1:int32:egkn;2:int64:egko;3:int32:egkp	refs/dofus-deobfs/protos/filtered/hft.proto:3
	hfu	hfu		1:int32:egkt;2:int64:egku	refs/dofus-deobfs/protos/filtered/hfu.proto:3
	hfv	hfv		1:int64:egky;2:string:egkz;3:int32:egla;4:int64:eglb	refs/dofus-deobfs/protos/filtered/hfv.proto:3
	hfw	hfw		1:int64:eglf;2:int64:eglg	refs/dofus-deobfs/protos/filtered/hfw.proto:3
	hfx	hfx		1:int64:eglk;2:int32:egll;3:int32:eglm;4:int32:egln;5:int64:eglo;6:string:eglp	refs/dofus-deobfs/protos/filtered/hfx.proto:3
	hfy	hfy		1:int64:eglt;2:int64:eglu	refs/dofus-deobfs/protos/filtered/hfy.proto:3
	hgc	hgc		1:hfh:egmd;2:int64:egme;3:int32:egmf;4:int32:egmg;5:int32:egmh;6:hga:egmi	refs/dofus-deobfs/protos/filtered/hgc.proto:4
	hgc+hga	.hga		1:int32:egly;2:int64:eglz	refs/dofus-deobfs/protos/filtered/hgc.proto:13
	hge	hge		1:string:egmo	refs/dofus-deobfs/protos/filtered/hge.proto:3
	hgf	hgf		1:string:egms	refs/dofus-deobfs/protos/filtered/hgf.proto:3
	hgg	hgg		1:string:egmw;2:jos:egmx	refs/dofus-deobfs/protos/filtered/hgg.proto:4
	hgh	hgh		1:string:egnb;2:int32:egnc	refs/dofus-deobfs/protos/filtered/hgh.proto:3
	hgi	hgi		1:string:egng;2:int32:egnh;3:int32:egni	refs/dofus-deobfs/protos/filtered/hgi.proto:3
	hgj	hgj			refs/dofus-deobfs/protos/filtered/hgj.proto:3
	hgk	hgk			refs/dofus-deobfs/protos/filtered/hgk.proto:3
	hgl	hgl		1:string:egns;2:jos:egnt	refs/dofus-deobfs/protos/filtered/hgl.proto:4
	hgm	hgm		1:string:egnx;2:int32:egny	refs/dofus-deobfs/protos/filtered/hgm.proto:3
	hgn	hgn		1:string:egoc;2:int32:egod;3:int32:egoe	refs/dofus-deobfs/protos/filtered/hgn.proto:3
	hgo	hgo		1:repeated jom:egoi;2:repeated jom:egoj	refs/dofus-deobfs/protos/filtered/hgo.proto:4
	hgp	hgp		1:string:egon;2:jdo:egoo	refs/dofus-deobfs/protos/filtered/hgp.proto:4
	hgq	hgq		1:int64:egos;2:jom:egot	refs/dofus-deobfs/protos/filtered/hgq.proto:4
	hgr	hgr		1:string:egox	refs/dofus-deobfs/protos/filtered/hgr.proto:3
	hgs	hgs		1:int32:egpb;2:int32:egpc;3:jms:egpd;4:string:egpe;5:string:egpf	refs/dofus-deobfs/protos/filtered/hgs.proto:4
	hgt	hgt		1:bool:egpj;2:int32:egpk;3:int32:egpl;4:jms:egpm;5:string:egpn;6:string:egpo	refs/dofus-deobfs/protos/filtered/hgt.proto:4
	hgu	hgu		1:string:egps;2:int64:egpt;3:string:egpu	refs/dofus-deobfs/protos/filtered/hgu.proto:3
	hgx	hgx		1:hgv:egpy;2:int32:egpz;3:int32:egqa;4:jms:egqb;5:int64:egqc;6:string:egqd	refs/dofus-deobfs/protos/filtered/hgx.proto:4
	hgy	hgy		1:repeated hgx:egqh	refs/dofus-deobfs/protos/filtered/hgy.proto:4
	hgz	hgz		1:string:egql;2:jne:egqm;3:bool:egqn;4:repeated jhi:egqo	refs/dofus-deobfs/protos/filtered/hgz.proto:5
	hhc	hhc		1:hha:egqs	refs/dofus-deobfs/protos/filtered/hhc.proto:3
	hhd	hhd		1:jom:egqw	refs/dofus-deobfs/protos/filtered/hhd.proto:4
	hhe	hhe		1:string:egra;2:repeated jos:egrb	refs/dofus-deobfs/protos/filtered/hhe.proto:4
	hhf	hhf		1:repeated jot:egrf	refs/dofus-deobfs/protos/filtered/hhf.proto:4
	hhg	hhg		1:string:egrj;2:repeated jos:egrk	refs/dofus-deobfs/protos/filtered/hhg.proto:4
	hhh	hhh			refs/dofus-deobfs/protos/filtered/hhh.proto:3
	hhj	hhj		1:string:egrs;2:int32:egrt	refs/dofus-deobfs/protos/filtered/hhj.proto:3
	hhk	hhk		1:string:egrx	refs/dofus-deobfs/protos/filtered/hhk.proto:3
	hhl	hhl		1:string:egsb	refs/dofus-deobfs/protos/filtered/hhl.proto:3
	hhm	hhm		1:string:egsf	refs/dofus-deobfs/protos/filtered/hhm.proto:3
	hhn	hhn		1:repeated hhr:egsj	refs/dofus-deobfs/protos/filtered/hhn.proto:4
	hho	hho		1:repeated int32:egsn	refs/dofus-deobfs/protos/filtered/hho.proto:3
	hhp	hhp		1:repeated hhr:egsr	refs/dofus-deobfs/protos/filtered/hhp.proto:4
	hhq	hhq		1:repeated int32:egsv	refs/dofus-deobfs/protos/filtered/hhq.proto:3
	hhr	hhr		1:string:egsz;2:int32:egta	refs/dofus-deobfs/protos/filtered/hhr.proto:3
	hhs	hhs		1:hhw:egte	refs/dofus-deobfs/protos/filtered/hhs.proto:4
	hht	hht		1:string:egti	refs/dofus-deobfs/protos/filtered/hht.proto:3
	hhu	hhu		1:repeated hhv:egtm	refs/dofus-deobfs/protos/filtered/hhu.proto:4
	hhv	hhv		1:hhw:egtq;2:hhx:egtr	refs/dofus-deobfs/protos/filtered/hhv.proto:5
	hhw	hhw		1:string:egtv;2:string:egtw;3:int32:egtx	refs/dofus-deobfs/protos/filtered/hhw.proto:3
	hhx	hhx		1:repeated int32:egub	refs/dofus-deobfs/protos/filtered/hhx.proto:3
