nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
LoginMessage	Com.ankama.dofus.server.connection.protocol.LoginMessage	com.ankama.dofus.server.connection.protocol.LoginMessage		1:Request:request;2:Response:response;3:Event:event	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:13
Request	Com.ankama.dofus.server.connection.protocol.Request	com.ankama.dofus.server.connection.protocol.Request	C2S	1:string:uuid;2:Ping:ping;3:IdentificationRequest:identification;4:SelectServerRequest:selectServer;5:ForceAccountRequest:forceAccount;6:ReleaseAccountRequest:releaseAccount;7:FriendListRequest:friend_list_request;8:AcquaintanceServersRequest:acquaintance_servers_request	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:62
Response	Com.ankama.dofus.server.connection.protocol.Response	com.ankama.dofus.server.connection.protocol.Response	S2C	1:string:uuid;2:Pong:pong;3:IdentificationResponse:identification;4:SelectServerResponse:selectServer;5:ForceAccountResponse:forceAccount;6:FriendListResponse:friend_list;7:AcquaintanceServersResponse:acquaintance_servers_response	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:155
Event	Com.ankama.dofus.server.connection.protocol.Event	com.ankama.dofus.server.connection.protocol.Event	S2C	1:Server:server;2:UpdateServerEvent:update_server_event	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:238
Ping	Com.ankama.dofus.server.connection.protocol.Ping	com.ankama.dofus.server.connection.protocol.Ping			refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:277
Pong	Com.ankama.dofus.server.connection.protocol.Pong	com.ankama.dofus.server.connection.protocol.Pong			refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:287
UpdateServerEvent	Com.ankama.dofus.server.connection.protocol.UpdateServerEvent	com.ankama.dofus.server.connection.protocol.UpdateServerEvent	S2C	1:ServerInformation:serverInformation	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:297
IdentificationRequest	Com.ankama.dofus.server.connection.protocol.IdentificationRequest	com.ankama.dofus.server.connection.protocol.IdentificationRequest	C2S	1:string:device_identifier;5:string:client_version;3:TokenRequest:tokenRequest;4:LoginRequest:loginRequest	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:310
TokenRequest	Com.ankama.dofus.server.connection.protocol.TokenRequest	com.ankama.dofus.server.connection.protocol.TokenRequest	C2S	1:string:token;2:Shield:shield	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:357
Shield	Com.ankama.dofus.server.connection.protocol.TokenRequest+Shield	com.ankama.dofus.server.connection.protocol.Shield		1:long:certificateId;2:string:certificateHash	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:372
LoginRequest	Com.ankama.dofus.server.connection.protocol.LoginRequest	com.ankama.dofus.server.connection.protocol.LoginRequest	C2S	1:string:login	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:391
IdentificationResponse	Com.ankama.dofus.server.connection.protocol.IdentificationResponse	com.ankama.dofus.server.connection.protocol.IdentificationResponse	S2C	1:Success:success;2:Error:error	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:405
Success	Com.ankama.dofus.server.connection.protocol.IdentificationResponse+Success	com.ankama.dofus.server.connection.protocol.Success		1:long:account_id;2:string:account_nickname;3:string:account_tag;4:ServerList:server_list;5:string:subscription_end_date;6:Rights:rights;7:int:fight_reconnection_server_id	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:442
Rights	Com.ankama.dofus.server.connection.protocol.IdentificationResponse+Success+Rights	com.ankama.dofus.server.connection.protocol.Rights		1:bool:show_force_account;2:bool:show_console;3:bool:unlimited_access;4:bool:infinite_subscription;5:bool:report	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:481
Error	Com.ankama.dofus.server.connection.protocol.IdentificationResponse+Error	com.ankama.dofus.server.connection.protocol.Error		1:Reason:reason;2:string:ban_end_date;3:string:required_version	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:508
SelectServerRequest	Com.ankama.dofus.server.connection.protocol.SelectServerRequest	com.ankama.dofus.server.connection.protocol.SelectServerRequest	C2S	1:int:server	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:578
SelectServerResponse	Com.ankama.dofus.server.connection.protocol.SelectServerResponse	com.ankama.dofus.server.connection.protocol.SelectServerResponse	S2C	1:Success:success;2:Error:error	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:591
Success	Com.ankama.dofus.server.connection.protocol.SelectServerResponse+Success	com.ankama.dofus.server.connection.protocol.Success		1:string:token;2:string:host;3:List<int>:ports	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:628
ServerList	Com.ankama.dofus.server.connection.protocol.ServerList	com.ankama.dofus.server.connection.protocol.ServerList		1:List<ServerInformation>:servers;2:List<MaxSlotByTypeEntry>:max_slot_by_type;1:int:key;2:int:value	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:664
ServerInformation	Com.ankama.dofus.server.connection.protocol.ServerInformation	com.ankama.dofus.server.connection.protocol.ServerInformation		1:Server:server;2:Accessibility:accessibility;3:List<CharacterInformation>:characters	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:689
Server	Com.ankama.dofus.server.connection.protocol.Server	com.ankama.dofus.server.connection.protocol.Server		1:int:id;2:Status:status;3:bool:mono_account	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:721
ForceAccountRequest	Com.ankama.dofus.server.connection.protocol.ForceAccountRequest	com.ankama.dofus.server.connection.protocol.ForceAccountRequest	C2S	1:long:account_id	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:749
ForceAccountResponse	Com.ankama.dofus.server.connection.protocol.ForceAccountResponse	com.ankama.dofus.server.connection.protocol.ForceAccountResponse	S2C	2:ForceAccountStatus:success;3:ForceAccountError:error	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:762
ForceAccountStatus	Com.ankama.dofus.server.connection.protocol.ForceAccountStatus	com.ankama.dofus.server.connection.protocol.ForceAccountStatus		1:bool:is_forced;2:long:forced_account_id;3:string:forced_account_nickname;4:string:forced_account_tag;5:ServerList:server_list	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:801
